"UT","DT","TC","PY","Department"
"ISI000390617900004","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000389497700009","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000386932000012","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000388504400019","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000386472500010","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000385696900010","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000407441500001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388299200007","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000385493200003","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000385161800002","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385186100034","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000384390700010","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388617200007","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000384863500007","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000381593300011","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377392900005","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000380995800006","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000380808200003","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000381442200012","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000315748200025","ARTICLE ",20,2013,"Biomedical Engineering"
"ISI000315406300019","ARTICLE ",17,2013,"Biomedical Engineering"
"ISI000316975000004","ARTICLE ",25,2013,"Biomedical Engineering"
"ISI000316205100001","ARTICLE ",19,2013,"Biomedical Engineering"
"ISI000316205100002","ARTICLE ",12,2013,"Biomedical Engineering"
"ISI000315127000087","ARTICLE ",12,2013,"Biomedical Engineering"
"ISI000315331300002","ARTICLE ",10,2013,"Biomedical Engineering"
"ISI000316033500016","ARTICLE ",3,2013,"Biomedical Engineering"
"ISI000314001000024","ARTICLE ",12,2013,"Biomedical Engineering"
"ISI000314115600005","ARTICLE ",3,2013,"Biomedical Engineering"
"ISI000315294600001","ARTICLE ",16,2013,"Biomedical Engineering"
"ISI000331905500014","INCOLLECTION ",0,2013,"Biomedical Engineering"
"ISI000328545103108","INCOLLECTION ",0,2013,"Biomedical Engineering"
"ISI000318778300004","ARTICLE ",9,2013,"Biomedical Engineering"
"ISI000313672300017","ARTICLE ",5,2013,"Biomedical Engineering"
"ISI000312556400003","ARTICLE ",38,2013,"Biomedical Engineering"
"ISI000312519400012","ARTICLE ",2,2012,"Biomedical Engineering"
"ISI000311381900021","ARTICLE ",4,2012,"Biomedical Engineering"
"ISI000309754400008","ARTICLE ",25,2012,"Biomedical Engineering"
"ISI000307442400040","ARTICLE ",2,2012,"Biomedical Engineering"
"ISI000307442400041","ARTICLE ",13,2012,"Biomedical Engineering"
"ISI000308680900015","ARTICLE ",24,2012,"Biomedical Engineering"
"ISI000208885007337","ARTICLE ",0,2012,"Biomedical Engineering"
"ISI000208885005089","ARTICLE ",0,2012,"Biomedical Engineering"
"ISI000311398600034","ARTICLE ",3,2012,"Biomedical Engineering"
"ISI000310398700007","ARTICLE ",32,2012,"Biomedical Engineering"
"ISI000310433500013","ARTICLE ",14,2012,"Biomedical Engineering"
"ISI000309507600012","ARTICLE ",5,2012,"Biomedical Engineering"
"ISI000308619000018","ARTICLE ",38,2012,"Biomedical Engineering"
"ISI000308770300045","ARTICLE ",17,2012,"Biomedical Engineering"
"ISI000312620200013","ARTICLE ",20,2012,"Biomedical Engineering"
"ISI000310429800028","ARTICLE ",13,2012,"Biomedical Engineering"
"ISI000309570600016","ARTICLE ",2,2012,"Biomedical Engineering"
"ISI000309348400040","ARTICLE ",3,2012,"Biomedical Engineering"
"ISI000309203500020","ARTICLE ",10,2012,"Biomedical Engineering"
"ISI000308688300008","ARTICLE ",24,2012,"Biomedical Engineering"
"ISI000325054600009","ARTICLE ",10,2012,"Biomedical Engineering"
"ISI000308810800001","ARTICLE ",12,2012,"Biomedical Engineering"
"ISI000309014000043","ARTICLE ",3,2012,"Biomedical Engineering"
"ISI000308508500041","ARTICLE ",13,2012,"Biomedical Engineering"
"ISI000307864000007","ARTICLE ",10,2012,"Biomedical Engineering"
"ISI000307378900014","ARTICLE ",11,2012,"Biomedical Engineering"
"ISI000308704600001","ARTICLE ",17,2012,"Biomedical Engineering"
"ISI000305129800004","ARTICLE ",17,2012,"Biomedical Engineering"
"ISI000308221300062","ARTICLE ",20,2012,"Biomedical Engineering"
