"UT","DT","TC","PY","Department"
"ISI000391082100017","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000386316700024","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000390620900047","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000386414400024","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000385318600008","ARTICLE ",2,2016,"Chemical and Petroleum Engineering"
"ISI000385318600030","ARTICLE ",2,2016,"Chemical and Petroleum Engineering"
"ISI000385318600035","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000389368800004","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000389818500001","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000390971300010","ARTICLE ",1,2016,"Civil Engineering"
"ISI000386743600016","ARTICLE ",3,2016,"Chemical and Petroleum Engineering"
"ISI000381950000048","ARTICLE ",3,2016,"Chemical and Petroleum Engineering"
"ISI000393066700013","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000393035400002","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000391780500024","ARTICLE ",1,2016,"Mechanical  and Manufacturing Engineering"
"ISI000392164000004","ARTICLE ",3,2016,"Civil Engineering"
"ISI000391282800045","ARTICLE ",0,2016,"Geomatics Engineering"
"ISI000391303000131","ARTICLE ",0,2016,"Geomatics Engineering"
"ISI000391303000037","ARTICLE ",0,2016,"Geomatics Engineering"
"ISI000391179700010","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000390973000005","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000390497100017","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000390649000017","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390668900052","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390559000005","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000390072900008","ARTICLE ",4,2016,"Chemical and Petroleum Engineering"
"ISI000390072900018","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000390072900033","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000390072900101","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000390482600006","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000389288900019","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000389338700020","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000389845100007","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000389845100007","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000389841700004","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000389659300001","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000389144600014","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000388716500006","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000388618200010","ARTICLE ",0,2016,"Civil Engineering"
