"UT","DT","TC","PY","Department"
"ISI000385690200031","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384853300061","ARTICLE ",12,2016,"Biomedical Engineering"
"ISI000390971300032","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000392126000008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000392126000006","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000391700900099","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000391424600001","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000390017900001","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000389285400017","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000388201000009","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388048600013","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388999900010","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000387519000011","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000390101200010","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388268200025","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000387401200011","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000386755000020","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384812200011","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000384812200014","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388213300005","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388213300003","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388213300010","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388213300012","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000387217600005","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000385213700012","ARTICLE ",12,2016,"Biomedical Engineering"
"ISI000384399100004","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000395258700014","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383220000006","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381594700002","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000382905800004","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000382514100004","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381860800050","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000381695000002","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000381954200010","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381117500021","ARTICLE ",10,2016,"Biomedical Engineering"
"ISI000381331900076","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000379694100044","ARTICLE ",14,2016,"Biomedical Engineering"
"ISI000398995700001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000380230600002","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000380030200003","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377736800007","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000377437600003","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000395256900005","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000379935100019","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000379436500005","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000378973700043","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000377409700001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377409700009","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000377378100085","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000376772000018","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000376931100007","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000376931100004","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000375701200013","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000376250600022","ARTICLE ",8,2016,"Biomedical Engineering"
"ISI000376383300014","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000375558600019","ARTICLE ",12,2016,"Biomedical Engineering"
"ISI000375125400026","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000371338700021","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000374815900034","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000374577400017","ARTICLE ",10,2016,"Biomedical Engineering"
"ISI000374501100004","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000379793000002","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000376546300009","ARTICLE ",9,2016,"Biomedical Engineering"
"ISI000374716700014","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000374718100245","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000374718100041","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000374718101399","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000406444005644","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000406444003354","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000370832100003","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000370832100013","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000370152900008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000370152900009","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000373149400008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000375229900001","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000372688700018","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000369119100011","ARTICLE ",8,2016,"Biomedical Engineering"
"ISI000372333700008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000371649100012","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000371693900015","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000364594100295","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000364194600020","ARTICLE ",8,2015,"Biomedical Engineering"
"ISI000363439800004","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000366169600019","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000363330200001","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000362918300005","ARTICLE ",11,2015,"Biomedical Engineering"
"ISI000362114000008","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000362114000009","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000361900500051","ARTICLE ",8,2015,"Biomedical Engineering"
"ISI000361261800004","ARTICLE ",13,2015,"Biomedical Engineering"
"ISI000361467700001","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000216598200039","ARTICLE ",66,2015,"Biomedical Engineering"
"ISI000360672900052","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360867700010","ARTICLE ",11,2015,"Biomedical Engineering"
"ISI000362515600006","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000362045100015","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000361306400005","ARTICLE ",15,2015,"Biomedical Engineering"
"ISI000360205202099","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360205202224","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360205201419","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360205202488","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360205200194","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360205201303","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000360064700013","ARTICLE ",16,2015,"Biomedical Engineering"
"ISI000360091800001","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000380356800003","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000359649300049","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000357339300005","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000356737800001","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000358546400062","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000358395200008","ARTICLE ",7,2015,"Biomedical Engineering"
"ISI000357457500001","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000346069000007","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000358850700001","ARTICLE ",31,2015,"Biomedical Engineering"
"ISI000353848300019","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000357147000021","ARTICLE ",7,2015,"Biomedical Engineering"
"ISI000356835800042","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000355875500005","ARTICLE ",9,2015,"Biomedical Engineering"
"ISI000362891101095","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000357093000015","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000356073100011","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000356235000005","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000355556600027","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000355330500001","ARTICLE ",7,2015,"Biomedical Engineering"
"ISI000354133000043","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000354035200024","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000354390600064","ARTICLE ",26,2015,"Biomedical Engineering"
"ISI000357866200008","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000356608100015","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000353767700003","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000353038600011","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000352783200550","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000352922000019","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000351796700014","ARTICLE ",43,2015,"Biomedical Engineering"
"ISI000353239100048","ARTICLE ",136,2015,"Biomedical Engineering"
"ISI000353251500612","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000353251500280","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000352089900005","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000352089900009","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000351381000003","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000350395300002","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000351792800019","ARTICLE ",18,2015,"Biomedical Engineering"
"ISI000350921900002","ARTICLE ",16,2015,"Biomedical Engineering"
"ISI000350918700036","ARTICLE ",9,2015,"Biomedical Engineering"
"ISI000350395100013","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000218549200001","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000350527000010","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000350193000023","ARTICLE ",20,2015,"Biomedical Engineering"
"ISI000349806400027","ARTICLE ",18,2015,"Biomedical Engineering"
"ISI000349087700054","ARTICLE ",20,2015,"Biomedical Engineering"
"ISI000348762500017","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000348862500015","ARTICLE ",19,2015,"Biomedical Engineering"
"ISI000362849400772","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000348164600012","ARTICLE ",14,2015,"Biomedical Engineering"
"ISI000345697400013","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000380546000075","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000380546000168","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000380546000188","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000380477600070","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000368579500006","ARTICLE ",9,2015,"Biomedical Engineering"
"ISI000367291800010","INCOLLECTION ",11,2015,"Biomedical Engineering"
"ISI000365936900005","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000362663000018","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000361983900032","INPROCEEDINGS ",0,2015,"Biomedical Engineering"
"ISI000359139300007","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000358609500005","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000358351400015","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000356375800001","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000356529100001","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000355560400015","ARTICLE ",4,2015,"Biomedical Engineering"
"ISI000351551800017","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000349373600002","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000348969700002","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000347864200023","ARTICLE ",11,2015,"Biomedical Engineering"
"ISI000347760600018","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000214017800005","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000209928600276","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000209928402064","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000209928400008","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000343240700003","INCOLLECTION ",1,2015,"Biomedical Engineering"
"ISI000346767200050","ARTICLE ",6,2014,"Biomedical Engineering"
"ISI000346193300001","ARTICLE ",2,2014,"Biomedical Engineering"
"ISI000345920800051","ARTICLE ",19,2014,"Biomedical Engineering"
"ISI000352094101160","ARTICLE ",0,2014,"Biomedical Engineering"
"ISI000348286400010","ARTICLE ",2,2014,"Biomedical Engineering"
"ISI000346952800018","ARTICLE ",3,2014,"Biomedical Engineering"
"ISI000345345800009","ARTICLE ",9,2014,"Biomedical Engineering"
"ISI000345684300227","ARTICLE ",0,2014,"Biomedical Engineering"
"ISI000344646900006","ARTICLE ",14,2014,"Biomedical Engineering"
"ISI000342881400006","ARTICLE ",3,2014,"Biomedical Engineering"
"ISI000345552700018","ARTICLE ",9,2014,"Biomedical Engineering"
"ISI000345153300048","ARTICLE ",14,2014,"Biomedical Engineering"
"ISI000344611200015","ARTICLE ",14,2014,"Biomedical Engineering"
"ISI000345558500014","ARTICLE ",6,2014,"Biomedical Engineering"
"ISI000348285900003","ARTICLE ",2,2014,"Biomedical Engineering"
"ISI000346160500014","ARTICLE ",1,2014,"Biomedical Engineering"
"ISI000345299200025","ARTICLE ",6,2014,"Biomedical Engineering"
"ISI000345108100025","ARTICLE ",1,2014,"Biomedical Engineering"
