"School","PY","Times Cited"
"Alberta","2012",11.4767441860465
"Alberta","2013",8.87755102040816
"Alberta","2014",5.58189655172414
"Alberta","2015",3.44791666666667
"Alberta","2016",1.34333333333333
"Calgary","2012",7.07843137254902
"Calgary","2013",6.10791366906475
"Calgary","2014",4.1144578313253
"Calgary","2015",3.52662721893491
"Calgary","2016",1.07638888888889
"Dalhousie","2012",7.70588235294118
"Dalhousie","2013",4.12903225806452
"Dalhousie","2014",5.0625
"Dalhousie","2015",3.88095238095238
"Dalhousie","2016",1.26086956521739
"Laval","2012",17.8333333333333
"Laval","2013",10.6666666666667
"Laval","2014",5.12
"Laval","2016",1.33333333333333
"Manitoba","2012",12.5263157894737
"Manitoba","2013",5.42307692307692
"Manitoba","2014",4.15384615384615
"Manitoba","2015",3.9375
"Manitoba","2016",1.52631578947368
"McGill","2012",11.6961325966851
"McGill","2013",11.018691588785
"McGill","2014",7.71794871794872
"McGill","2015",5.2289156626506
"McGill","2016",2.15430267062315
"McMaster","2012",7.36666666666667
"McMaster","2013",16.5833333333333
"McMaster","2014",6.47368421052632
"McMaster","2015",3.08433734939759
"McMaster","2016",1.70114942528736
"Ottawa","2012",12.9705882352941
"Ottawa","2013",7.54385964912281
"Ottawa","2014",5.62264150943396
"Ottawa","2015",2.98611111111111
"Ottawa","2016",1.46590909090909
"Queens","2012",10.9693251533742
"Queens","2013",7.53591160220994
"Queens","2014",5.21621621621622
"Queens","2015",3.66393442622951
"Queens","2016",2.06030150753769
"Saskatchewan","2012",8.48
"Saskatchewan","2013",8.9
"Saskatchewan","2014",6
"Saskatchewan","2015",4.23076923076923
"Saskatchewan","2016",3.05263157894737
"Toronto","2012",11.3214285714286
"Toronto","2013",11.8992248062016
"Toronto","2014",6.1865671641791
"Toronto","2015",4.48076923076923
"Toronto","2016",1.275
"UBC","2012",11.7764705882353
"UBC","2013",9.14851485148515
"UBC","2014",7.30927835051546
"UBC","2015",3.578125
"UBC","2016",1.77037037037037
"Waterloo","2012",10.9186991869919
"Waterloo","2013",7.4954954954955
"Waterloo","2014",8.96794871794872
"Waterloo","2015",4.15328467153285
"Waterloo","2016",1.25465838509317
"Western","2012",11.1764705882353
"Western","2013",11.7391304347826
"Western","2014",6.48913043478261
"Western","2015",3.67469879518072
"Western","2016",1.54054054054054
