"UT","DT","TC","PY","Department"
"ISI000383422100064","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000380364100003","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000378539400020","ARTICLE ",6,2016,"Aerospace Engineering Sciences"
"ISI000374617100005","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000378428100002","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000379178200030","ARTICLE ",5,2016,"Aerospace Engineering Sciences"
"ISI000377856800028","ARTICLE ",8,2016,"Aerospace Engineering Sciences"
"ISI000375330200029","ARTICLE ",3,2016,"Aerospace Engineering Sciences"
"ISI000384626700018","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000384626700041","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000383421100004","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000383421100064","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000378466400009","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000378642400018","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000377444100004","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000375799500050","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000374506600017","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000375789100006","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000373651800034","ARTICLE ",3,2016,"Aerospace Engineering Sciences"
"ISI000380025500073","ARTICLE ",4,2016,"Aerospace Engineering Sciences"
"ISI000376289100005","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000375289700009","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000374972500006","ARTICLE ",6,2016,"Aerospace Engineering Sciences"
"ISI000374972500009","ARTICLE ",6,2016,"Aerospace Engineering Sciences"
"ISI000373705400009","ARTICLE ",3,2016,"Aerospace Engineering Sciences"
"ISI000378338800004","ARTICLE ",7,2016,"Aerospace Engineering Sciences"
"ISI000374369000011","ARTICLE ",8,2016,"Aerospace Engineering Sciences"
"ISI000379960300035","ARTICLE ",7,2016,"Aerospace Engineering Sciences"
"ISI000379960300061","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000375894300005","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000374861000013","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000372786100013","ARTICLE ",4,2016,"Aerospace Engineering Sciences"
"ISI000373004000022","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000369695300021","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000373602000043","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000374730900011","ARTICLE ",3,2016,"Aerospace Engineering Sciences"
"ISI000374730900047","ARTICLE ",5,2016,"Aerospace Engineering Sciences"
"ISI000374730900055","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000374169200008","ARTICLE ",5,2016,"Aerospace Engineering Sciences"
"ISI000370841700002","ARTICLE ",7,2016,"Aerospace Engineering Sciences"
"ISI000370445400022","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000371481700008","ARTICLE ",2,2016,"Aerospace Engineering Sciences"
"ISI000373002100041","ARTICLE ",10,2016,"Aerospace Engineering Sciences"
"ISI000373002100053","ARTICLE ",6,2016,"Aerospace Engineering Sciences"
"ISI000373024700007","ARTICLE ",5,2016,"Aerospace Engineering Sciences"
"ISI000371740900260","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000369211600003","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000366157000006","ARTICLE ",0,2016,"Aerospace Engineering Sciences"
"ISI000375215100005","ARTICLE ",19,2016,"Aerospace Engineering Sciences"
"ISI000369213700006","ARTICLE ",3,2016,"Aerospace Engineering Sciences"
"ISI000369213700007","ARTICLE ",1,2016,"Aerospace Engineering Sciences"
"ISI000306587300007","ARTICLE ",4,2012,"Aerospace Engineering Sciences"
"ISI000306352000016","ARTICLE ",5,2012,"Aerospace Engineering Sciences"
"ISI000305219600001","ARTICLE ",10,2012,"Aerospace Engineering Sciences"
"ISI000305994400001","ARTICLE ",12,2012,"Aerospace Engineering Sciences"
"ISI000305996400006","ARTICLE ",9,2012,"Aerospace Engineering Sciences"
"ISI000304914400016","ARTICLE ",15,2012,"Aerospace Engineering Sciences"
"ISI000305629300001","ARTICLE ",14,2012,"Aerospace Engineering Sciences"
"ISI000305384400001","ARTICLE ",2,2012,"Aerospace Engineering Sciences"
"ISI000209125300011","ARTICLE ",8,2012,"Aerospace Engineering Sciences"
"ISI000304260100001","ARTICLE ",13,2012,"Aerospace Engineering Sciences"
"ISI000303904600008","ARTICLE ",19,2012,"Aerospace Engineering Sciences"
"ISI000303904600026","ARTICLE ",44,2012,"Aerospace Engineering Sciences"
"ISI000302882800010","ARTICLE ",22,2012,"Aerospace Engineering Sciences"
"ISI000302529100003","ARTICLE ",7,2012,"Aerospace Engineering Sciences"
"ISI000302529100013","ARTICLE ",58,2012,"Aerospace Engineering Sciences"
"ISI000302586000004","ARTICLE ",12,2012,"Aerospace Engineering Sciences"
"ISI000302586000006","ARTICLE ",10,2012,"Aerospace Engineering Sciences"
"ISI000302561500003","ARTICLE ",16,2012,"Aerospace Engineering Sciences"
"ISI000302406900004","ARTICLE ",1,2012,"Aerospace Engineering Sciences"
"ISI000301477600005","ARTICLE ",14,2012,"Aerospace Engineering Sciences"
"ISI000300700000001","ARTICLE ",6,2012,"Aerospace Engineering Sciences"
"ISI000302125000045","ARTICLE ",23,2012,"Aerospace Engineering Sciences"
"ISI000301631100014","ARTICLE ",35,2012,"Aerospace Engineering Sciences"
"ISI000300960700021","ARTICLE ",9,2012,"Aerospace Engineering Sciences"
"ISI000300742800004","ARTICLE ",7,2012,"Aerospace Engineering Sciences"
"ISI000300844400032","ARTICLE ",64,2012,"Aerospace Engineering Sciences"
"ISI000299432900001","ARTICLE ",0,2012,"Aerospace Engineering Sciences"
"ISI000299432900015","ARTICLE ",14,2012,"Aerospace Engineering Sciences"
"ISI000299524800006","ARTICLE ",9,2012,"Aerospace Engineering Sciences"
"ISI000298865300013","ARTICLE ",21,2012,"Aerospace Engineering Sciences"
"ISI000299699900003","ARTICLE ",19,2012,"Aerospace Engineering Sciences"
"ISI000299699500002","ARTICLE ",4,2012,"Aerospace Engineering Sciences"
"ISI000299386400001","ARTICLE ",0,2012,"Aerospace Engineering Sciences"
"ISI000298944000003","ARTICLE ",14,2012,"Aerospace Engineering Sciences"
"ISI000327200402151","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000323529700027","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000324956000123","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000324956000124","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000324956000125","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000324503800084","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933400039","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933400054","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933400085","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933400088","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933400096","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933401036","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321933401085","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000321935300032","INPROCEEDINGS ",13,2012,"Aerospace Engineering Sciences"
"ISI000320410000025","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000320611800293","INPROCEEDINGS ",2,2012,"Aerospace Engineering Sciences"
"ISI000320140700055","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000320140500043","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000314461500003","ARTICLE ",0,2012,"Aerospace Engineering Sciences"
"ISI000310776201111","INPROCEEDINGS ",4,2012,"Aerospace Engineering Sciences"
"ISI000308787200006","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787200007","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787200010","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787200047","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787200105","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787201014","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000308787201028","INPROCEEDINGS ",1,2012,"Aerospace Engineering Sciences"
"ISI000308787201039","INPROCEEDINGS ",1,2012,"Aerospace Engineering Sciences"
"ISI000304193700057","INPROCEEDINGS ",1,2012,"Aerospace Engineering Sciences"
"ISI000304056200007","ARTICLE ",2,2012,"Aerospace Engineering Sciences"
"ISI000303762300003","INPROCEEDINGS ",1,2012,"Aerospace Engineering Sciences"
"ISI000302643100002","ARTICLE ",7,2012,"Aerospace Engineering Sciences"
"ISI000302582400012","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000302378100001","ARTICLE ",15,2012,"Aerospace Engineering Sciences"
"ISI000300433100102","INPROCEEDINGS ",1,2012,"Aerospace Engineering Sciences"
"ISI000300206600003","ARTICLE ",3,2012,"Aerospace Engineering Sciences"
"ISI000298414000006","ARTICLE ",32,2012,"Aerospace Engineering Sciences"
"ISI000298192000015","ARTICLE ",49,2012,"Aerospace Engineering Sciences"
"ISI000299146500018","ARTICLE ",17,2012,"Aerospace Engineering Sciences"
"ISI000306561700059","INPROCEEDINGS ",0,2012,"Aerospace Engineering Sciences"
"ISI000403301400028","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400031","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400042","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400047","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400056","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400060","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400065","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301400130","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401015","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401023","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401050","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401064","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401073","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401083","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401094","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000403301401138","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000388376103044","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000388376105089","INPROCEEDINGS ",1,2016,"Aerospace Engineering Sciences"
"ISI000391921701144","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391855000058","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391479500005","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391479500038","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391479503060","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391273400140","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391297800006","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000391122300002","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387731500008","INPROCEEDINGS ",1,2016,"Aerospace Engineering Sciences"
"ISI000389516202035","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000386726600240","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000386726600159","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000386726600101","INPROCEEDINGS ",1,2016,"Aerospace Engineering Sciences"
"ISI000386726600103","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000386726600134","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700035","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700058","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700070","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700119","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700206","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700210","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
"ISI000387517700218","INPROCEEDINGS ",0,2016,"Aerospace Engineering Sciences"
