"UT","DT","TC","PY","Department"
"ISI000390510900065","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000391108100008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000389030600025","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000386316900073","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383930900119","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000387557600023","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000386930800013","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385745500014","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384863800003","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000383292700027","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000383254800028","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381950500031","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000381231600025","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000383253100044","ARTICLE ",9,2016,"Biomedical Engineering"
"ISI000380597800010","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000378969100033","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000378064500027","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000376838100027","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377756800014","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377194300030","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377194300032","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000375727500015","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000375568900011","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000375468200009","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000374668900001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000380241200012","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000373493100015","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000372424600014","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000369492700037","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000372561200035","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000371649100028","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000371658300034","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000395265400001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000387497400481","INPROCEEDINGS ",0,2016,"Biomedical Engineering"
"ISI000387497400450","INPROCEEDINGS ",0,2016,"Biomedical Engineering"
"ISI000387497400462","INPROCEEDINGS ",0,2016,"Biomedical Engineering"
"ISI000379025500002","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000378720700029","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000374611200005","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000370092900013","ARTICLE ",8,2016,"Biomedical Engineering"
"ISI000368970300002","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000367743400008","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000364247500076","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000365054700001","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000367571900016","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000367571900017","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000366790400021","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000365055300012","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000365348400012","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000364092900017","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000362368200007","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000363994500046","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000363374100034","ARTICLE ",6,2015,"Biomedical Engineering"
"ISI000361959400002","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000358249800007","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000358099700001","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000358858100008","ARTICLE ",14,2015,"Biomedical Engineering"
"ISI000356545600009","ARTICLE ",5,2015,"Biomedical Engineering"
"ISI000356239600009","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000355246400014","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000355888200008","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000355377500017","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000353752100027","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000356241900063","ARTICLE ",2,2015,"Biomedical Engineering"
"ISI000354145700015","ARTICLE ",7,2015,"Biomedical Engineering"
"ISI000352329500057","ARTICLE ",7,2015,"Biomedical Engineering"
"ISI000356006300005","ARTICLE ",8,2015,"Biomedical Engineering"
"ISI000351660200001","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000351707600001","ARTICLE ",1,2015,"Biomedical Engineering"
"ISI000352302800007","ARTICLE ",0,2015,"Biomedical Engineering"
"ISI000352245400022","ARTICLE ",13,2015,"Biomedical Engineering"
"ISI000351214000008","ARTICLE ",3,2015,"Biomedical Engineering"
"ISI000317465000011","ARTICLE ",1,2013,"Biomedical Engineering"
"ISI000316970600011","ARTICLE ",18,2013,"Biomedical Engineering"
"ISI000316673600008","ARTICLE ",14,2013,"Biomedical Engineering"
"ISI000316673600013","ARTICLE ",6,2013,"Biomedical Engineering"
"ISI000316812400039","ARTICLE ",9,2013,"Biomedical Engineering"
"ISI000314684800001","ARTICLE ",1,2013,"Biomedical Engineering"
"ISI000315478000007","ARTICLE ",2,2013,"Biomedical Engineering"
