"UT","DT","TC","PY","Department"
"ISI000389819000001","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000389536700053","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000392929500035","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000392116600006","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000390490700001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000390569200026","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000390569200081","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000390569200332","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000389987700016","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000390237200027","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000390503300009","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000389648300014","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000389559300002","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000389539900023","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388588000001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388588000005","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388431300008","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000388047900006","ARTICLE ",11,2016,"Biomedical Engineering"
"ISI000388889500009","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388424000002","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000398604102133","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000391808000015","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000389513700013","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000389511000010","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000387781700008","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000387450000002","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388517100017","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000388155400026","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000387987300015","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000386721200021","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000386643700008","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000386528900009","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000386925800011","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385842000004","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000385163300002","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000383442200010","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000386250700014","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000389602800073","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000385537600001","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000385610400041","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000386775300010","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381542300002","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000392717300025","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000392469600092","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000386423600027","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000386589200002","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000386589200004","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000386216200012","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000386188100003","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000384211900020","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385418200009","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000385607300011","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000385521900031","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385577900033","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385577900008","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000384679400013","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000383985400037","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000383985400015","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383985400008","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383517700011","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000382269600091","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000384869000004","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384518500010","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000397715400039","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000397715400074","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000384034600067","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000383322600001","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000383723700028","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000383314800004","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000383318300017","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000382643600001","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000383776300001","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000385472300041","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000385472300047","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000382467600001","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000394174004397","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174001300","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174000052","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174001268","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174000067","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174001302","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394174004095","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000394210603149","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210602183","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210602238","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210604270","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210603388","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210603037","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210604027","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210602164","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210603347","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210601007","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210203095","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000394210203348","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388991400017","ARTICLE ",14,2016,"Biomedical Engineering"
"ISI000387658600024","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000383637300012","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000385416500008","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000385416500020","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384646400201","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384223800007","ARTICLE ",13,2016,"Biomedical Engineering"
"ISI000384323300003","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000384323300006","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000384323300007","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383314500002","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000383220000014","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000383091900545","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000382800500010","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000382514100005","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000382877200055","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000382180200030","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383373700018","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000381613100001","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000381198200001","ARTICLE ",17,2016,"Biomedical Engineering"
"ISI000382772400007","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000380586600014","ARTICLE ",8,2016,"Biomedical Engineering"
"ISI000383716300004","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000384976500025","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000380556000008","ARTICLE ",7,2016,"Biomedical Engineering"
"ISI000379736500001","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000379278400009","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000380298400045","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000382395200020","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000374811800002","ARTICLE ",14,2016,"Biomedical Engineering"
"ISI000379460400001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388232100016","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000388232100018","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000387871800018","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000380933900005","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000381729000020","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000381917800050","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000379931600009","ARTICLE ",3,2016,"Biomedical Engineering"
"ISI000380323800017","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000379002100078","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000379171900009","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000378336200386","ARTICLE ",5,2016,"Biomedical Engineering"
"ISI000378336200233","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000378347800029","ARTICLE ",30,2016,"Biomedical Engineering"
"ISI000377429400008","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000379128700021","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000377731200058","ARTICLE ",4,2016,"Biomedical Engineering"
"ISI000377662100001","ARTICLE ",2,2016,"Biomedical Engineering"
"ISI000380906100001","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000377443800001","ARTICLE ",13,2016,"Biomedical Engineering"
"ISI000377006400001","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000397240600012","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000383605500006","ARTICLE ",6,2016,"Biomedical Engineering"
"ISI000381917300038","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000379582700038","ARTICLE ",1,2016,"Biomedical Engineering"
"ISI000378808700001","ARTICLE ",1,2016,"Biomedical Engineering"
