"School","PY","Times Cited"
"Alberta","2012",14.9973045822102
"Alberta","2013",10.4475703324808
"Alberta","2014",8.1953125
"Alberta","2015",4.3444976076555
"Alberta","2016",1.95560253699789
"Calgary","2012",7.46276595744681
"Calgary","2013",7.01075268817204
"Calgary","2014",3.25373134328358
"Calgary","2015",2.58659217877095
"Calgary","2016",0.91747572815534
"Dalhousie","2012",4.02564102564103
"Dalhousie","2013",3.51470588235294
"Dalhousie","2014",2.76
"Dalhousie","2015",1.50549450549451
"Dalhousie","2016",1.18390804597701
"Laval","2012",7.46428571428571
"Laval","2013",7.60869565217391
"Laval","2014",4.90666666666667
"Laval","2015",1.45161290322581
"Laval","2016",1.59550561797753
"McGill","2012",5.72058823529412
"McGill","2013",7.17757009345794
"McGill","2014",4.93353474320242
"McGill","2015",4.27777777777778
"McGill","2016",1.62537764350453
"McMaster","2012",7.78205128205128
"McMaster","2013",5.28395061728395
"McMaster","2014",5.37762237762238
"McMaster","2015",3.20224719101124
"McMaster","2016",1.32258064516129
"Montreal","2012",10.0365853658537
"Montreal","2013",7.74534161490683
"Montreal","2014",6.03658536585366
"Montreal","2015",2.48666666666667
"Montreal","2016",1.16363636363636
"Ottawa","2012",10.0161290322581
"Ottawa","2013",5.125
"Ottawa","2014",4.92880258899676
"Ottawa","2015",2.3315649867374
"Ottawa","2016",0.900568181818182
"Queens","2012",9.92222222222222
"Queens","2013",5.65811965811966
"Queens","2014",5.15946843853821
"Queens","2015",3.78546712802768
"Queens","2016",1.64855072463768
"Saskatchewan","2012",8.13888888888889
"Saskatchewan","2013",4.60606060606061
"Saskatchewan","2014",3.3125
"Saskatchewan","2015",2.30909090909091
"Saskatchewan","2016",1.075
"Toronto","2012",17.3187347931873
"Toronto","2013",11.0521920668058
"Toronto","2014",10.7675438596491
"Toronto","2015",8.25925925925926
"Toronto","2016",3.97821782178218
"UBC","2012",13.0419161676647
"UBC","2013",8.41604010025063
"UBC","2014",6.41145833333333
"UBC","2015",4.65644171779141
"UBC","2016",1.70678336980306
"Waterloo","2012",14.0756501182033
"Waterloo","2013",9.08761904761905
"Waterloo","2014",6.57171314741036
"Waterloo","2015",4.56876456876457
"Waterloo","2016",1.66013071895425
"Western","2012",7.3943661971831
"Western","2013",7.29192546583851
"Western","2014",5.66666666666667
"Western","2015",4.51748251748252
"Western","2016",1.70866141732283
