"UT","DT","TC","PY","Department"
"ISI000389523300017","INPROCEEDINGS ",0,2015,"Mechanical & Aerospace Engineering"
"ISI000316549400013","ARTICLE ",10,2013,"Mechanical & Aerospace Engineering"
"ISI000378856400014","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000340698500019","ARTICLE ",10,2014,"Agricultural & Biological Engineering"
"ISI000326245300007","ARTICLE ",13,2013,"Agricultural & Biological Engineering"
"ISI000388154100011","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000390071000159","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000408909100001","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000391962100001","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000389432200023","ARTICLE ",14,2016,"Agricultural & Biological Engineering"
"ISI000387857800001","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000387107000003","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000386402200012","ARTICLE ",5,2016,"Agricultural & Biological Engineering"
"ISI000389472400030","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000383930400114","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000383003200027","ARTICLE ",5,2016,"Agricultural & Biological Engineering"
"ISI000382410100064","ARTICLE ",6,2016,"Agricultural & Biological Engineering"
"ISI000380728200025","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000388211100004","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000387273200013","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000386982500003","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000386409300009","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000384711900091","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000385907400020","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000395425400023","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000384841900012","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000384791500011","ARTICLE ",5,2016,"Agricultural & Biological Engineering"
"ISI000387454400018","ARTICLE ",7,2016,"Agricultural & Biological Engineering"
"ISI000386419100034","ARTICLE ",4,2016,"Agricultural & Biological Engineering"
"ISI000385595200040","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000382972000001","ARTICLE ",4,2016,"Agricultural & Biological Engineering"
"ISI000382409200001","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000384518500038","ARTICLE ",4,2016,"Agricultural & Biological Engineering"
"ISI000376991800006","ARTICLE ",7,2016,"Agricultural & Biological Engineering"
"ISI000387793500018","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000383734400034","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000383527100012","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000383527100026","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000384303900007","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000383311700007","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000380418900007","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000377792800102","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000377738300004","ARTICLE ",23,2016,"Agricultural & Biological Engineering"
"ISI000383161200001","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000387675500016","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000381434600022","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000380089300024","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000379159200002","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000380295000010","ARTICLE ",5,2016,"Agricultural & Biological Engineering"
"ISI000380295700003","ARTICLE ",11,2016,"Agricultural & Biological Engineering"
"ISI000384905500043","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000379990300064","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000378360600035","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000377729100008","ARTICLE ",4,2016,"Agricultural & Biological Engineering"
"ISI000376732000026","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000374802200011","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000384983800002","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
"ISI000392929300031","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000392932500022","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000390433700033","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000387732700016","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000387732700008","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000387732700010","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000387732700005","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000387732700009","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000385023900002","INCOLLECTION ",2,2016,"Agricultural & Biological Engineering"
"ISI000385866800025","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000384913700002","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000379064900007","INCOLLECTION ",1,2016,"Agricultural & Biological Engineering"
"ISI000378895200002","ARTICLE ",0,2016,"Agricultural & Biological Engineering"
"ISI000377623600101","INPROCEEDINGS ",0,2016,"Agricultural & Biological Engineering"
"ISI000377225600027","ARTICLE ",3,2016,"Agricultural & Biological Engineering"
"ISI000374753200007","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000374753200008","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000374753200010","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000374753200011","ARTICLE ",1,2016,"Agricultural & Biological Engineering"
"ISI000374754700018","ARTICLE ",2,2016,"Agricultural & Biological Engineering"
