"UT","DT","TC","PY","Department"
"ISI000385722500002","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000384332000021","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000380417300119","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000381324700026","ARTICLE ",2,2016,"Aerospace Engineering"
"ISI000378540200003","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000380750500017","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000389617900001","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388591400007","ARTICLE ",2,2016,"Aerospace Engineering"
"ISI000384234900013","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000384575300008","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000383476000021","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000383261500011","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000383261500017","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000382750000008","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000381104400012","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000384013200001","ARTICLE ",9,2016,"Aerospace Engineering"
"ISI000381456400015","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000379539600004","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000376789300028","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000375944100010","ARTICLE ",9,2016,"Aerospace Engineering"
"ISI000379935700005","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000352163500100","ARTICLE ",13,2015,"Aerospace Engineering"
"ISI000351621400008","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000351621400009","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000351167300028","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000351250400001","ARTICLE ",8,2015,"Aerospace Engineering"
"ISI000351320200007","ARTICLE ",5,2015,"Aerospace Engineering"
"ISI000350116100012","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000347730800003","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000350552000113","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000350551300041","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000348411900008","ARTICLE ",5,2015,"Aerospace Engineering"
"ISI000348710300008","ARTICLE ",4,2015,"Aerospace Engineering"
"ISI000345432100013","ARTICLE ",10,2015,"Aerospace Engineering"
"ISI000347976900078","ARTICLE ",15,2015,"Aerospace Engineering"
"ISI000381554502126","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000381554502127","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380501303064","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380501303078","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380381400037","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380406800002","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380176700061","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380176700021","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380176400050","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000380176400027","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000379450800072","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000377555200090","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000376668802027","INPROCEEDINGS ",3,2015,"Aerospace Engineering"
"ISI000374508300003","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000371885402122","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000371649600006","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000371647200001","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000371647200200","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370974904022","INPROCEEDINGS ",1,2015,"Aerospace Engineering"
"ISI000370974904112","INPROCEEDINGS ",5,2015,"Aerospace Engineering"
"ISI000370268400081","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259200030","INPROCEEDINGS ",2,2015,"Aerospace Engineering"
"ISI000370259203046","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259203082","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259204014","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259204094","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259205075","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370259205115","INPROCEEDINGS ",2,2015,"Aerospace Engineering"
"ISI000370259205119","INPROCEEDINGS ",3,2015,"Aerospace Engineering"
"ISI000370259206019","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000370387100001","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000369566100064","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000369566100052","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000369566100046","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000365445302037","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000365913500001","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000365147200025","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000363226000004","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000359815600029","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000357640200001","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000355726100018","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000355726100014","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000353877000028","ARTICLE ",14,2015,"Aerospace Engineering"
"ISI000353564800006","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000350881800016","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000350881800023","ARTICLE ",4,2015,"Aerospace Engineering"
"ISI000349557500010","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000349739200021","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000349362100006","ARTICLE ",5,2015,"Aerospace Engineering"
"ISI000348047500117","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000348048800022","ARTICLE ",4,2015,"Aerospace Engineering"
"ISI000348049500114","ARTICLE ",7,2015,"Aerospace Engineering"
"ISI000348049500117","ARTICLE ",10,2015,"Aerospace Engineering"
"ISI000348486500002","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000348050300002","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000347786300011","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000347407100012","ARTICLE ",12,2015,"Aerospace Engineering"
"ISI000347251100007","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000346393600015","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000219363700002","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000345577100002","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000342317100007","ARTICLE ",0,2015,"Aerospace Engineering"
"ISI000346263500005","ARTICLE ",4,2014,"Aerospace Engineering"
"ISI000343201600002","ARTICLE ",4,2014,"Aerospace Engineering"
"ISI000349395800011","ARTICLE ",9,2014,"Aerospace Engineering"
"ISI000345200500005","ARTICLE ",6,2014,"Aerospace Engineering"
"ISI000345980800031","ARTICLE ",1,2014,"Aerospace Engineering"
"ISI000345861500002","ARTICLE ",2,2014,"Aerospace Engineering"
"ISI000343924400014","ARTICLE ",7,2014,"Aerospace Engineering"
"ISI000344145000032","ARTICLE ",1,2014,"Aerospace Engineering"
"ISI000343799000010","ARTICLE ",0,2014,"Aerospace Engineering"
"ISI000343380000015","ARTICLE ",3,2014,"Aerospace Engineering"
