"UT","DT","TC","PY","Department"
"ISI000348451200013","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000351236200001","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000352058900001","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000352332600041","ARTICLE ",1,2015,"Aerospace Engineering"
"ISI000352282500018","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000351914500044","ARTICLE ",42,2015,"Aerospace Engineering"
"ISI000349599500012","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000352309400062","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000351444300010","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000351188000042","ARTICLE ",9,2015,"Aerospace Engineering"
"ISI000350206000008","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000350472800007","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000349745600003","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000349399700009","ARTICLE ",4,2015,"Aerospace Engineering"
"ISI000349452000008","ARTICLE ",8,2015,"Aerospace Engineering"
"ISI000351132500062","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000349847000001","ARTICLE ",7,2015,"Aerospace Engineering"
"ISI000350551300012","ARTICLE ",2,2015,"Aerospace Engineering"
"ISI000349365700003","ARTICLE ",6,2015,"Aerospace Engineering"
"ISI000349030100002","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000349030100005","ARTICLE ",10,2015,"Aerospace Engineering"
"ISI000348379000003","ARTICLE ",5,2015,"Aerospace Engineering"
"ISI000349051200003","ARTICLE ",3,2015,"Aerospace Engineering"
"ISI000347132800006","ARTICLE ",11,2015,"Aerospace Engineering"
"ISI000345431800020","ARTICLE ",5,2015,"Aerospace Engineering"
"ISI000381554500111","INPROCEEDINGS ",0,2015,"Aerospace Engineering"
"ISI000381554501094","INPROCEEDINGS ",1,2015,"Aerospace Engineering"
"ISI000326015600010","ARTICLE ",6,2013,"Aerospace Engineering"
"ISI000338695600017","ARTICLE ",0,2013,"Aerospace Engineering"
"ISI000331372500010","ARTICLE ",5,2013,"Aerospace Engineering"
"ISI000326210700003","ARTICLE ",17,2013,"Aerospace Engineering"
"ISI000326052300018","ARTICLE ",2,2013,"Aerospace Engineering"
"ISI000322633500015","ARTICLE ",20,2013,"Aerospace Engineering"
"ISI000325434500090","ARTICLE ",13,2013,"Aerospace Engineering"
"ISI000326209100024","ARTICLE ",9,2013,"Aerospace Engineering"
"ISI000326642800056","ARTICLE ",3,2013,"Aerospace Engineering"
"ISI000325682500002","ARTICLE ",6,2013,"Aerospace Engineering"
"ISI000324246700011","ARTICLE ",9,2013,"Aerospace Engineering"
"ISI000323015400014","ARTICLE ",9,2013,"Aerospace Engineering"
"ISI000329618406792","ARTICLE ",0,2013,"Aerospace Engineering"
"ISI000329618406759","ARTICLE ",0,2013,"Aerospace Engineering"
"ISI000331372900009","ARTICLE ",7,2013,"Aerospace Engineering"
"ISI000331372900013","ARTICLE ",4,2013,"Aerospace Engineering"
"ISI000326085700001","ARTICLE ",4,2013,"Aerospace Engineering"
"ISI000324669100002","ARTICLE ",2,2013,"Aerospace Engineering"
"ISI000324155000016","ARTICLE ",9,2013,"Aerospace Engineering"
"ISI000321993000019","ARTICLE ",22,2013,"Aerospace Engineering"
"ISI000322222300009","ARTICLE ",9,2013,"Aerospace Engineering"
"ISI000321801000018","ARTICLE ",25,2013,"Aerospace Engineering"
"ISI000320946700003","ARTICLE ",2,2013,"Aerospace Engineering"
"ISI000321761600011","ARTICLE ",18,2013,"Aerospace Engineering"
"ISI000322057100018","ARTICLE ",1,2013,"Aerospace Engineering"
"ISI000322050600014","ARTICLE ",5,2013,"Aerospace Engineering"
"ISI000321535000001","ARTICLE ",7,2013,"Aerospace Engineering"
"ISI000320095800002","ARTICLE ",3,2013,"Aerospace Engineering"
"ISI000320421800005","ARTICLE ",15,2013,"Aerospace Engineering"
"ISI000314870400031","ARTICLE ",10,2013,"Aerospace Engineering"
"ISI000320484000032","ARTICLE ",6,2013,"Aerospace Engineering"
"ISI000320137200004","ARTICLE ",28,2013,"Aerospace Engineering"
"ISI000319471200010","ARTICLE ",3,2013,"Aerospace Engineering"
"ISI000318730000014","ARTICLE ",22,2013,"Aerospace Engineering"
"ISI000318730000016","ARTICLE ",8,2013,"Aerospace Engineering"
"ISI000320001200051","ARTICLE ",22,2013,"Aerospace Engineering"
"ISI000318377900001","ARTICLE ",22,2013,"Aerospace Engineering"
"ISI000318377900003","ARTICLE ",15,2013,"Aerospace Engineering"
"ISI000324303602716","ARTICLE ",0,2013,"Aerospace Engineering"
"ISI000316827300014","ARTICLE ",0,2013,"Aerospace Engineering"
"ISI000316070600009","ARTICLE ",4,2013,"Aerospace Engineering"
"ISI000312642600018","ARTICLE ",3,2013,"Aerospace Engineering"
"ISI000326175400022","ARTICLE ",9,2013,"Aerospace Engineering"
