"UT","DT","TC","PY","Department"
"ISI000385318600005","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000384785000093","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000392626300039","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389099700009","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000381251100120","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000395427600061","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390734800092","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390113600008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000388119200538","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000388119200144","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000385809700028","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000382591100010","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000389207100010","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000387592300011","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000377386900015","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389287300008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000381728300010","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000378429900010","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000379632600016","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000378429100018","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000373062500011","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000376262100002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000388871600007","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000383689000002","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000388515500013","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000381208700005","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000381208700009","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000380022100002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000376522600006","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000379787300001","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000378816600013","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000378467300004","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000377740200013","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000376467100014","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000378369400002","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000371673000003","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000373828300010","ARTICLE ",8,2016,"Chemical Engineering"
"ISI000378756500026","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000376680900002","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000375823600030","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000376330800073","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000374496500021","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000374964700036","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000375264200594","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000375264200338","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000375264200548","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000374185000015","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000372556700021","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000372977000026","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000372519300057","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000369119100019","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000375955900004","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000372676400041","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000371634200004","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000371296400005","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000370615300027","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000368868300008","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000370741400011","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000368711200010","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000368748900010","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000367767900016","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000392262000008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000387495300008","INCOLLECTION ",0,2016,"Chemical Engineering"
"ISI000375842300188","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000366584700038","INPROCEEDINGS ",0,2015,"Chemical Engineering"
"ISI000362696800002","ARTICLE ",5,2015,"Chemical Engineering"
"ISI000362143100003","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000360490600003","ARTICLE ",32,2015,"Chemical Engineering"
"ISI000359179800001","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000358109800002","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000358129400035","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000354044600001","ARTICLE ",73,2015,"Chemical Engineering"
"ISI000351236300049","ARTICLE ",18,2015,"Chemical Engineering"
"ISI000346166600001","ARTICLE ",16,2015,"Chemical Engineering"
"ISI000345520000118","ARTICLE ",10,2015,"Chemical Engineering"
"ISI000344943800005","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000344429700024","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000348013300013","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000347594500012","ARTICLE ",15,2014,"Chemical Engineering"
"ISI000347161600014","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000345293200020","ARTICLE ",6,2014,"Chemical Engineering"
"ISI000345541800026","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000345295000004","ARTICLE ",4,2014,"Chemical Engineering"
"ISI000344333200007","ARTICLE ",5,2014,"Chemical Engineering"
"ISI000365665000005","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000342681600006","ARTICLE ",14,2014,"Chemical Engineering"
"ISI000340401400071","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000344639300005","ARTICLE ",42,2014,"Chemical Engineering"
"ISI000344178300010","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000343766700001","ARTICLE ",2,2014,"Chemical Engineering"
"ISI000343832300024","ARTICLE ",4,2014,"Chemical Engineering"
"ISI000340949300077","ARTICLE ",20,2014,"Chemical Engineering"
"ISI000344042700002","ARTICLE ",9,2014,"Chemical Engineering"
"ISI000343360600004","ARTICLE ",6,2014,"Chemical Engineering"
"ISI000343638500002","ARTICLE ",11,2014,"Chemical Engineering"
"ISI000342839100008","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000342180700002","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000341840900020","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000340141800101","ARTICLE ",5,2014,"Chemical Engineering"
"ISI000342962200016","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000341372900003","ARTICLE ",9,2014,"Chemical Engineering"
"ISI000340517700006","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000340496700057","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000340320800056","ARTICLE ",1,2014,"Chemical Engineering"
"ISI000338820700019","ARTICLE ",9,2014,"Chemical Engineering"
"ISI000341546000011","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000337598500005","ARTICLE ",12,2014,"Chemical Engineering"
"ISI000333979300013","ARTICLE ",22,2014,"Chemical Engineering"
"ISI000337996100014","ARTICLE ",12,2014,"Chemical Engineering"
"ISI000338021600003","ARTICLE ",85,2014,"Chemical Engineering"
"ISI000335275200008","ARTICLE ",15,2014,"Chemical Engineering"
"ISI000333935300001","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000335433100052","ARTICLE ",4,2014,"Chemical Engineering"
"ISI000335101900006","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000332771400020","ARTICLE ",25,2014,"Chemical Engineering"
"ISI000333806100035","ARTICLE ",4,2014,"Chemical Engineering"
"ISI000334573100061","ARTICLE ",2,2014,"Chemical Engineering"
"ISI000334071600007","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000341128100014","ARTICLE ",6,2014,"Chemical Engineering"
"ISI000336941700005","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000335625600004","ARTICLE ",5,2014,"Chemical Engineering"
"ISI000332623800012","ARTICLE ",8,2014,"Chemical Engineering"
"ISI000332047000015","ARTICLE ",8,2014,"Chemical Engineering"
"ISI000333939700007","ARTICLE ",2,2014,"Chemical Engineering"
"ISI000331782500003","ARTICLE ",26,2014,"Chemical Engineering"
"ISI000331782500035","ARTICLE ",5,2014,"Chemical Engineering"
"ISI000331782500046","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000332923000016","ARTICLE ",12,2014,"Chemical Engineering"
"ISI000331338600030","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000333381200044","ARTICLE ",2,2014,"Chemical Engineering"
"ISI000331979200004","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000329118700076","ARTICLE ",31,2014,"Chemical Engineering"
"ISI000329121300030","ARTICLE ",7,2014,"Chemical Engineering"
"ISI000329121300037","ARTICLE ",45,2014,"Chemical Engineering"
"ISI000331493300027","ARTICLE ",8,2014,"Chemical Engineering"
"ISI000346690300001","ARTICLE ",0,2014,"Chemical Engineering"
"ISI000343630300001","ARTICLE ",3,2014,"Chemical Engineering"
"ISI000341414900055","INPROCEEDINGS ",0,2014,"Chemical Engineering"
"ISI000341414900087","INPROCEEDINGS ",1,2014,"Chemical Engineering"
"ISI000339625500021","ARTICLE ",25,2014,"Chemical Engineering"
"ISI000334855500054","ARTICLE ",14,2014,"Chemical Engineering"
"ISI000332474700007","ARTICLE ",22,2014,"Chemical Engineering"
"ISI000332473400022","ARTICLE ",14,2014,"Chemical Engineering"
"ISI000327849700053","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000326943400022","ARTICLE ",20,2014,"Chemical Engineering"
"ISI000325647000087","ARTICLE ",10,2014,"Chemical Engineering"
"ISI000328438800038","ARTICLE ",13,2013,"Chemical Engineering"
"ISI000327413500007","ARTICLE ",2,2013,"Chemical Engineering"
"ISI000327908800010","ARTICLE ",12,2013,"Chemical Engineering"
"ISI000325908300026","ARTICLE ",6,2013,"Chemical Engineering"
"ISI000324510700026","ARTICLE ",10,2013,"Chemical Engineering"
"ISI000324659200037","ARTICLE ",5,2013,"Chemical Engineering"
"ISI000326994500092","ARTICLE ",5,2013,"Chemical Engineering"
"ISI000326994500098","ARTICLE ",17,2013,"Chemical Engineering"
"ISI000325945500039","ARTICLE ",12,2013,"Chemical Engineering"
"ISI000324961500001","ARTICLE ",8,2013,"Chemical Engineering"
"ISI000321314100054","ARTICLE ",22,2013,"Chemical Engineering"
"ISI000329618404068","ARTICLE ",0,2013,"Chemical Engineering"
"ISI000326127100017","ARTICLE ",3,2013,"Chemical Engineering"
"ISI000327285000010","ARTICLE ",13,2013,"Chemical Engineering"
"ISI000320615300115","ARTICLE ",19,2013,"Chemical Engineering"
"ISI000322685700041","ARTICLE ",19,2013,"Chemical Engineering"
"ISI000324663100041","ARTICLE ",8,2013,"Chemical Engineering"
