"UT","DT","TC","PY","Department"
"ISI000390434100001","ARTICLE ",4,2016,"Civil Engineering"
"ISI000397749200002","ARTICLE ",0,2016,"Civil Engineering"
"ISI000394492600002","ARTICLE ",0,2016,"Civil Engineering"
"ISI000393189500002","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000390634300020","ARTICLE ",0,2016,"Civil Engineering"
"ISI000390649000002","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390604400005","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000390072900085","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000390072900086","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000386798700035","ARTICLE ",2,2016,"Civil Engineering"
"ISI000388792700009","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000388792700009","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000388621900002","ARTICLE ",1,2016,"Civil Engineering"
"ISI000388621000010","ARTICLE ",0,2016,"Civil Engineering"
"ISI000388612700007","ARTICLE ",0,2016,"Civil Engineering"
"ISI000388619000019","ARTICLE ",1,2016,"Civil Engineering"
"ISI000388113900015","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388059300012","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000386645300016","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000386415800003","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000383930900059","ARTICLE ",4,2016,"Mechanical  Engineering"
"ISI000380591500002","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000387143900007","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000388050400028","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000394148900019","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000391274100004","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000390817900009","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000390042100086","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000389169000012","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388501900030","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000388211100006","ARTICLE ",2,2016,"Civil Engineering"
"ISI000388218600030","ARTICLE ",0,2016,"Civil Engineering"
"ISI000387197400001","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000386755000008","ARTICLE ",0,2016,"Civil Engineering"
"ISI000385716200030","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000385717200014","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000384872000004","ARTICLE ",6,2016,"Civil Engineering"
"ISI000382410300111","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000397068400024","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390514900020","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000390514900028","ARTICLE ",1,2016,"Biosystems Engineering"
"ISI000389803200002","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388681600007","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000386658000069","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000386795100005","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000386107200105","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000386107200105","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000386229200002","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000386405900005","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000385647600002","ARTICLE ",0,2016,"Civil Engineering"
"ISI000385318700023","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000385434400009","ARTICLE ",4,2016,"Civil Engineering"
"ISI000385716100003","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000385716100018","ARTICLE ",6,2016,"Electrical and Computer Engineering"
"ISI000383981300001","ARTICLE ",5,2016,"Electrical and Computer Engineering"
"ISI000384680400027","ARTICLE ",8,2016,"Mechanical  Engineering"
"ISI000384680400027","ARTICLE ",8,2016,"Biosystems Engineering"
"ISI000382794200044","ARTICLE ",0,2016,"Civil Engineering"
"ISI000381109800001","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000395258700025","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000388288400024","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000383592100012","ARTICLE ",1,2016,"Biosystems Engineering"
"ISI000383592100012","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000384655300014","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000383372000009","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000380625700006","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000383042400005","ARTICLE ",1,2016,"Civil Engineering"
"ISI000382507400006","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000382343800019","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000382343800019","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000381246600011","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000380791200006","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000377309500004","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000381950800014","ARTICLE ",1,2016,"Biosystems Engineering"
"ISI000381975900026","ARTICLE ",12,2016,"Electrical and Computer Engineering"
"ISI000381975900036","ARTICLE ",5,2016,"Electrical and Computer Engineering"
"ISI000379632600056","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000381530600011","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000387194100002","ARTICLE ",1,2016,"Biosystems Engineering"
"ISI000384007600011","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000384315200009","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000383281300003","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000381446200039","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000381049000019","ARTICLE ",0,2016,"Civil Engineering"
"ISI000381049000015","ARTICLE ",0,2016,"Civil Engineering"
"ISI000380334700037","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000380593900004","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000380028200017","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000379646200026","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000379354200009","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000378964900005","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000391615200002","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000378963400016","ARTICLE ",6,2016,"Electrical and Computer Engineering"
"ISI000377311200017","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000377311200017","ARTICLE ",1,2016,"Civil Engineering"
"ISI000389158700001","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000384002500027","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000384175900001","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000382446200029","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000380967000074","ARTICLE ",2,2016,"Civil Engineering"
"ISI000380065700016","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000380065700058","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000380151400001","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000379743000003","ARTICLE ",5,2016,"Electrical and Computer Engineering"
"ISI000379372300014","ARTICLE ",3,2016,"Biosystems Engineering"
"ISI000379372300021","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000378659700063","ARTICLE ",8,2016,"Mechanical  Engineering"
"ISI000379630400005","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000378538200042","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000378369000010","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000409525000011","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000377447400027","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000376788500028","ARTICLE ",6,2016,"Mechanical  Engineering"
"ISI000381759800102","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000379734000006","ARTICLE ",9,2016,"Mechanical  Engineering"
"ISI000379734000006","ARTICLE ",9,2016,"Biosystems Engineering"
"ISI000379694300010","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000378663800020","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000377109500051","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000375070800003","ARTICLE ",3,2016,"Mechanical  Engineering"
"ISI000378298400039","ARTICLE ",11,2016,"Electrical and Computer Engineering"
"ISI000396547600003","ARTICLE ",0,2016,"Civil Engineering"
"ISI000384443400005","ARTICLE ",4,2016,"Biosystems Engineering"
"ISI000381510500029","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000382821000002","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000379935100027","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000380027200006","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000380027200009","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000379984900015","ARTICLE ",3,2016,"Civil Engineering"
"ISI000378715500011","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000378778900009","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000378506600036","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000377150400008","ARTICLE ",5,2016,"Mechanical  Engineering"
"ISI000377368200007","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000377432300008","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000376886300031","ARTICLE ",2,2016,"Biosystems Engineering"
"ISI000376263700001","ARTICLE ",13,2016,"Electrical and Computer Engineering"
"ISI000376231200026","ARTICLE ",9,2016,"Mechanical  Engineering"
"ISI000407334800009","ARTICLE ",0,2016,"Biosystems Engineering"
"ISI000375553700003","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000375775100008","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000374916300015","ARTICLE ",3,2016,"Civil Engineering"
"ISI000374616900080","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000374177400021","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000374177400021","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000373415600020","ARTICLE ",3,2016,"Civil Engineering"
"ISI000376260600001","ARTICLE ",4,2016,"Biosystems Engineering"
"ISI000377131200016","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000375900500001","ARTICLE ",1,2016,"Biosystems Engineering"
"ISI000375167600005","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000375521000023","ARTICLE ",10,2016,"Mechanical  Engineering"
"ISI000377129900012","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000373819200008","ARTICLE ",2,2016,"Biosystems Engineering"
"ISI000373633000005","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000378778600030","ARTICLE ",7,2016,"Electrical and Computer Engineering"
"ISI000378504100012","ARTICLE ",16,2016,"Electrical and Computer Engineering"
"ISI000377205000005","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000377139500018","ARTICLE ",1,2016,"Civil Engineering"
"ISI000376094500038","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000376094500057","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000375596100005","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000374040900009","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000374040900009","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000375092200017","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000375092200020","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000374665900027","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000372892300001","ARTICLE ",10,2016,"Electrical and Computer Engineering"
"ISI000373244700018","ARTICLE ",3,2016,"Biosystems Engineering"
"ISI000371651800002","ARTICLE ",14,2016,"Mechanical  Engineering"
"ISI000376010800003","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000374074400002","ARTICLE ",7,2016,"Electrical and Computer Engineering"
"ISI000372764200003","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000386711500002","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000376799700036","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000376469102140","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000376469102139","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000374550600033","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000374552900020","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000374963000009","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000375298800005","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000375298800006","ARTICLE ",8,2016,"Electrical and Computer Engineering"
"ISI000373225400075","ARTICLE ",8,2016,"Electrical and Computer Engineering"
"ISI000372843500016","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000373147800035","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000372982200005","ARTICLE ",0,2016,"Civil Engineering"
"ISI000373085100007","ARTICLE ",0,2016,"Civil Engineering"
"ISI000371445500067","ARTICLE ",10,2016,"Mechanical  Engineering"
