"UT","DT","TC","PY","Department"
"ISI000390809100116","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390625000053","ARTICLE ",3,2016,"Mining and Materials Engineering"
"ISI000390309100001","ARTICLE ",1,2016,"Bioengineering"
"ISI000390309100001","ARTICLE ",1,2016,"Other"
"ISI000386333300006","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000390620900018","ARTICLE ",3,2016,"Civil Engineering and Applied Mechanics"
"ISI000390619900026","ARTICLE ",1,2016,"Bioengineering"
"ISI000390619900026","ARTICLE ",1,2016,"Other"
"ISI000390516500010","ARTICLE ",0,2016,"Mining and Materials Engineering"
"ISI000390516500011","ARTICLE ",0,2016,"Civil Engineering and Applied Mechanics"
"ISI000391114900003","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390071000111","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000388778400013","ARTICLE ",2,2016,"Bioengineering"
"ISI000384868900018","ARTICLE ",4,2016,"Bioengineering"
"ISI000389570500001","ARTICLE ",3,2016,"Mining and Materials Engineering"
"ISI000388221000001","ARTICLE ",5,2016,"Electrical and Computer Engineering"
"ISI000389156100001","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000389025800005","ARTICLE ",2,2016,"Other"
"ISI000389025800005","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000391694500010","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000401555900029","ARTICLE ",0,2016,"Civil Engineering and Applied Mechanics"
"ISI000399025900007","ARTICLE ",1,2016,"Mining and Materials Engineering"
"ISI000397100700008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000394337700004","ARTICLE ",0,2016,"Other"
"ISI000394337700004","ARTICLE ",0,2016,"Mining and Materials Engineering"
"ISI000395260300001","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000392775600002","ARTICLE ",6,2016,"Other"
"ISI000392723100004","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000392473600031","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000392975200004","ARTICLE ",1,2016,"Other"
"ISI000392209700030","ARTICLE ",0,2016,"Mining and Materials Engineering"
"ISI000391592700003","ARTICLE ",0,2016,"Mining and Materials Engineering"
"ISI000391303000089","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000390958700002","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000391285900001","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390847100013","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390847100020","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390953400069","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000391106800002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000391106800002","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000390634300002","ARTICLE ",0,2016,"Civil Engineering and Applied Mechanics"
"ISI000390870700002","ARTICLE ",2,2016,"Other"
"ISI000390870700002","ARTICLE ",2,2016,"Civil Engineering and Applied Mechanics"
"ISI000390624200003","ARTICLE ",2,2016,"Bioengineering"
"ISI000390624200003","ARTICLE ",2,2016,"Other"
"ISI000390624200005","ARTICLE ",1,2016,"Other"
"ISI000390624200005","ARTICLE ",1,2016,"Bioengineering"
"ISI000390624200009","ARTICLE ",1,2016,"Bioengineering"
