"UT","DT","TC","PY","Department"
"ISI000391160400038","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000391160400038","ARTICLE ",1,2016,"Mechanical  and Manufacturing Engineering"
"ISI000390728900031","ARTICLE ",3,2016,"Materials Science and Engineering"
"ISI000395433600044","ARTICLE ",0,2016,"Civil Engineering"
"ISI000390403600023","ARTICLE ",6,2016,"Engineering Physics"
"ISI000390071000069","ARTICLE ",5,2016,"Civil Engineering"
"ISI000391519700009","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000389195900029","ARTICLE ",3,2016,"Chemical and Petroleum Engineering"
"ISI000383525400072","ARTICLE ",2,2016,"Materials Science and Engineering"
"ISI000408160900031","ARTICLE ",0,2016,"Civil Engineering"
"ISI000393121400005","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000393201500022","ARTICLE ",2,2016,"School of Biomedical Engineering"
"ISI000392503600005","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000392096800012","ARTICLE ",0,2016,"Engineering Physics"
"ISI000392096800012","ARTICLE ",0,2016,"School of Biomedical Engineering"
"ISI000391739500043","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000391541900005","ARTICLE ",1,2016,"Engineering Physics"
"ISI000391541900005","ARTICLE ",1,2016,"Mechanical  and Manufacturing Engineering"
"ISI000391179800006","ARTICLE ",0,2016,"Engineering Physics"
"ISI000391179800006","ARTICLE ",0,2016,"School of Biomedical Engineering"
"ISI000391179800006","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000391303000081","ARTICLE ",2,2016,"School of Biomedical Engineering"
"ISI000390990200007","ARTICLE ",0,2016,"Civil Engineering"
"ISI000390512100045","ARTICLE ",2,2016,"School of Biomedical Engineering"
"ISI000389789200004","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000389789200004","ARTICLE ",0,2016,"School of Biomedical Engineering"
"ISI000389789200004","ARTICLE ",0,2016,"Engineering Physics"
"ISI000389787200027","ARTICLE ",4,2016,"Chemical and Petroleum Engineering"
"ISI000389338700013","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000389611100028","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000389611100029","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000388779600003","ARTICLE ",2,2016,"Civil Engineering"
"ISI000388960900002","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000388948200002","ARTICLE ",1,2016,"Materials Science and Engineering"
"ISI000389106200023","ARTICLE ",4,2016,"Materials Science and Engineering"
"ISI000388679000003","ARTICLE ",1,2016,"Chemical and Petroleum Engineering"
"ISI000388679000003","ARTICLE ",1,2016,"School of Biomedical Engineering"
"ISI000388580200023","ARTICLE ",2,2016,"Civil Engineering"
"ISI000388627900017","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388619000010","ARTICLE ",0,2016,"Civil Engineering"
"ISI000388619000001","ARTICLE ",1,2016,"Civil Engineering"
"ISI000388498600013","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000387859600009","ARTICLE ",0,2016,"Chemical and Petroleum Engineering"
"ISI000387859600017","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000387859600017","ARTICLE ",0,2016,"School of Biomedical Engineering"
"ISI000388223600012","ARTICLE ",1,2016,"Civil Engineering"
"ISI000387856000043","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000386425400002","ARTICLE ",0,2016,"Civil Engineering"
"ISI000386425400010","ARTICLE ",2,2016,"Civil Engineering"
"ISI000386316900078","ARTICLE ",2,2016,"Materials Science and Engineering"
"ISI000384777800063","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
"ISI000385186200008","ARTICLE ",0,2016,"Mechanical  and Manufacturing Engineering"
