"UT","DT","TC","PY","Department"
"ISI000391688900053","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000389963300070","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000393844100008","ARTICLE ",3,2016,"Aerospace Engineering"
"ISI000393040200003","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000390614600011","ARTICLE ",2,2016,"Aerospace Engineering"
"ISI000390025500016","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000389331700033","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000389344200005","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000389285700018","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388801000021","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388863100009","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388950600012","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388950600021","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388950600027","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388950600029","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000389105900015","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000388152300003","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000387193900008","ARTICLE ",2,2016,"Aerospace Engineering"
"ISI000387298600007","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000386982300015","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000386149700008","ARTICLE ",3,2016,"Aerospace Engineering"
"ISI000386227000007","ARTICLE ",4,2016,"Aerospace Engineering"
"ISI000386225800011","ARTICLE ",5,2016,"Aerospace Engineering"
"ISI000386332200003","ARTICLE ",4,2016,"Aerospace Engineering"
"ISI000386043700011","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000385909500040","ARTICLE ",5,2016,"Aerospace Engineering"
"ISI000390254900002","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000393988800030","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000390734500004","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000384206400005","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000383818800002","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000383913100003","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000382947500001","ARTICLE ",3,2016,"Aerospace Engineering"
"ISI000384626600002","ARTICLE ",0,2016,"Aerospace Engineering"
"ISI000390235900002","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000376194900007","ARTICLE ",1,2016,"Aerospace Engineering"
"ISI000375775100010","ARTICLE ",1,2016,"Aerospace Engineering"
