"UT","DT","TC","PY","Department"
"ISI000389025100008","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000393040200002","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000389963200045","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000388738600014","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000388867800017","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000385851100008","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000389892000040","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000393988800034","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000390745800006","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000383145500002","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000384215700011","ARTICLE ",2,2016,"Aerospace Engineering and Mechanics"
"ISI000390216900001","ARTICLE ",2,2016,"Aerospace Engineering and Mechanics"
"ISI000381886100001","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000381610300002","ARTICLE ",2,2016,"Aerospace Engineering and Mechanics"
"ISI000389649400004","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000380599200005","ARTICLE ",2,2016,"Aerospace Engineering and Mechanics"
"ISI000380599200008","ARTICLE ",3,2016,"Aerospace Engineering and Mechanics"
"ISI000379977100006","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000382500500007","ARTICLE ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000376710400008","ARTICLE ",8,2016,"Aerospace Engineering and Mechanics"
"ISI000379039900023","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000376802900023","ARTICLE ",3,2016,"Aerospace Engineering and Mechanics"
"ISI000388376100083","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000388376102142","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000388376104107","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000388376104111","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000391868600120","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000391479500074","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000391273400152","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000389021800012","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000389021800061","INPROCEEDINGS ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000389021800121","INPROCEEDINGS ",2,2016,"Aerospace Engineering and Mechanics"
"ISI000384998100017","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000368640000009","INCOLLECTION ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000368640000012","INCOLLECTION ",1,2016,"Aerospace Engineering and Mechanics"
"ISI000366758400006","ARTICLE ",0,2016,"Aerospace Engineering and Mechanics"
"ISI000365624100009","ARTICLE ",4,2015,"Aerospace Engineering and Mechanics"
"ISI000365828700006","ARTICLE ",2,2015,"Aerospace Engineering and Mechanics"
"ISI000361793800005","ARTICLE ",5,2015,"Aerospace Engineering and Mechanics"
"ISI000365463900022","ARTICLE ",2,2015,"Aerospace Engineering and Mechanics"
"ISI000365342100006","ARTICLE ",3,2015,"Aerospace Engineering and Mechanics"
"ISI000360087400035","ARTICLE ",6,2015,"Aerospace Engineering and Mechanics"
"ISI000366449200009","ARTICLE ",5,2015,"Aerospace Engineering and Mechanics"
"ISI000361212100017","ARTICLE ",12,2015,"Aerospace Engineering and Mechanics"
"ISI000359646800013","ARTICLE ",4,2015,"Aerospace Engineering and Mechanics"
"ISI000359377200019","ARTICLE ",21,2015,"Aerospace Engineering and Mechanics"
"ISI000360646600045","ARTICLE ",9,2015,"Aerospace Engineering and Mechanics"
"ISI000357652400001","ARTICLE ",1,2015,"Aerospace Engineering and Mechanics"
"ISI000357670800008","ARTICLE ",0,2015,"Aerospace Engineering and Mechanics"
"ISI000357670800007","ARTICLE ",0,2015,"Aerospace Engineering and Mechanics"
"ISI000357670800006","ARTICLE ",0,2015,"Aerospace Engineering and Mechanics"
"ISI000355884900014","ARTICLE ",4,2015,"Aerospace Engineering and Mechanics"
"ISI000362015800066","ARTICLE ",2,2015,"Aerospace Engineering and Mechanics"
"ISI000358713400016","ARTICLE ",5,2015,"Aerospace Engineering and Mechanics"
"ISI000356214900002","ARTICLE ",18,2015,"Aerospace Engineering and Mechanics"
"ISI000355661700005","ARTICLE ",11,2015,"Aerospace Engineering and Mechanics"
