"UT","DT","TC","PY","Department"
"ISI000391685500039","ARTICLE ",2,2016,"Electrical Engineering"
"ISI000390729300016","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390072200029","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000387633200020","ARTICLE ",2,2016,"Mechanical  Engineering"
"ISI000395516200008","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000393120300004","ARTICLE ",2,2016,"Mathematics and Industrial Engineering"
"ISI000393121400012","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000392405100026","ARTICLE ",2,2016,"Engineering Physics"
"ISI000391184000001","ARTICLE ",0,2016,"Mathematics and Industrial Engineering"
"ISI000390497100017","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390497100053","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000389963200066","ARTICLE ",3,2016,"Engineering Physics"
"ISI000389288900037","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389338700023","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389303100003","ARTICLE ",2,2016,"Engineering Physics"
"ISI000389735400004","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000388811700021","ARTICLE ",3,2016,"Mechanical  Engineering"
"ISI000388735900002","ARTICLE ",4,2016,"Civil, Geological and Mining Engineering"
"ISI000389301700002","ARTICLE ",2,2016,"Civil, Geological and Mining Engineering"
"ISI000388506300028","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000387857500008","ARTICLE ",0,2016,"Mathematics and Industrial Engineering"
"ISI000387857500008","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000383008100008","ARTICLE ",1,2016,"Mathematics and Industrial Engineering"
"ISI000382248700065","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000390243100014","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000390243100014","ARTICLE ",0,2016,"Institute of Biomedical Engineering"
"ISI000383821100017","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000383003200007","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000387876000001","ARTICLE ",0,2016,"Institute of Biomedical Engineering"
"ISI000390062200001","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000393098400084","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000390941000024","ARTICLE ",1,2016,"Civil, Geological and Mining Engineering"
"ISI000390668200016","ARTICLE ",3,2016,"Engineering Physics"
"ISI000390668200016","ARTICLE ",3,2016,"Mathematics and Industrial Engineering"
"ISI000387887200020","ARTICLE ",4,2016,"Electrical Engineering"
"ISI000388543700056","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000388487800003","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000388487800003","ARTICLE ",0,2016,"Institute of Biomedical Engineering"
"ISI000387902500024","ARTICLE ",1,2016,"Computer Engineering"
"ISI000388050500008","ARTICLE ",3,2016,"Mathematics and Industrial Engineering"
"ISI000387163500009","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000387335600009","ARTICLE ",0,2016,"Computer Engineering"
"ISI000386358500005","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000384861100026","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000381835200023","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000380730700001","ARTICLE ",3,2016,"Mathematics and Industrial Engineering"
"ISI000387544400016","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000385998000009","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000384788600020","ARTICLE ",3,2016,"Engineering Physics"
"ISI000384198500001","ARTICLE ",1,2016,"Electrical Engineering"
"ISI000383616300004","ARTICLE ",1,2016,"Civil, Geological and Mining Engineering"
"ISI000383505900010","ARTICLE ",3,2016,"Electrical Engineering"
"ISI000382591100010","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000386984400048","ARTICLE ",1,2016,"Mechanical  Engineering"
"ISI000383710500025","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386446400004","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000385418200002","ARTICLE ",1,2016,"Electrical Engineering"
"ISI000385974300019","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000385155100005","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000384647900051","ARTICLE ",1,2016,"Electrical Engineering"
"ISI000384647900052","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000384548800028","ARTICLE ",0,2016,"Mathematics and Industrial Engineering"
"ISI000384677100009","ARTICLE ",22,2016,"Engineering Physics"
"ISI000382682400003","ARTICLE ",0,2016,"Mathematics and Industrial Engineering"
"ISI000381950400017","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000376817100008","ARTICLE ",4,2016,"Mathematics and Industrial Engineering"
"ISI000384558700016","ARTICLE ",0,2016,"Engineering Physics"
"ISI000383138300001","ARTICLE ",3,2016,"Mathematics and Industrial Engineering"
"ISI000383138300001","ARTICLE ",3,2016,"Electrical Engineering"
"ISI000400983900007","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000388445100006","ARTICLE ",0,2016,"Mathematics and Industrial Engineering"
"ISI000383613000004","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000383613000004","ARTICLE ",2,2016,"Engineering Physics"
"ISI000384444100002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000384435800097","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000384655300031","ARTICLE ",0,2016,"Electrical Engineering"
"ISI000384646400060","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000384246800009","ARTICLE ",0,2016,"Mechanical  Engineering"
"ISI000384012100003","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000383130100011","ARTICLE ",0,2016,"Civil, Geological and Mining Engineering"
"ISI000382752000003","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000382344000010","ARTICLE ",0,2016,"Institute of Biomedical Engineering"
"ISI000380081900050","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000377832500048","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000375507700006","ARTICLE ",4,2016,"Mechanical  Engineering"
"ISI000375507700006","ARTICLE ",4,2016,"Mathematics and Industrial Engineering"
"ISI000386620700001","ARTICLE ",1,2016,"Computer Engineering"
"ISI000381519100001","ARTICLE ",3,2016,"Chemical Engineering"
