"UT","DT","TC","PY","Department"
"ISI000379271800062","ARTICLE ",12,2016,"Chemical and Biological Engineering"
"ISI000386145200015","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000380469700015","INPROCEEDINGS ",0,2015,"Chemical and Biological Engineering"
"ISI000335659900013","ARTICLE ",16,2014,"Chemical and Biological Engineering"
"ISI000333349300030","ARTICLE ",13,2014,"Chemical and Biological Engineering"
"ISI000328246100010","ARTICLE ",7,2014,"Chemical and Biological Engineering"
"ISI000324929200002","ARTICLE ",3,2013,"Chemical and Biological Engineering"
"ISI000324720700009","ARTICLE ",20,2013,"Chemical and Biological Engineering"
"ISI000209228800058","ARTICLE ",3,2013,"Chemical and Biological Engineering"
"ISI000314112500020","ARTICLE ",5,2013,"Chemical and Biological Engineering"
"ISI000359006000017","ARTICLE ",12,2015,"Chemical and Biological Engineering"
"ISI000391080800009","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000395443700057","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000389785200027","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000389963100013","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000389195900014","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000398287600011","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000393060100007","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000390182800061","ARTICLE ",6,2016,"Chemical and Biological Engineering"
"ISI000384776600007","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000380414500001","ARTICLE ",7,2016,"Chemical and Biological Engineering"
"ISI000388428800047","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000387254000023","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000383827600054","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000383827600063","ARTICLE ",22,2016,"Chemical and Biological Engineering"
"ISI000380725100007","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000381542300034","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000385721000005","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000377328700060","ARTICLE ",7,2016,"Chemical and Biological Engineering"
"ISI000384852000048","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000383297400003","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000384038000020","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000378181400002","ARTICLE ",8,2016,"Chemical and Biological Engineering"
"ISI000378060100015","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000383005500028","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000386431100018","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000380601300042","ARTICLE ",8,2016,"Chemical and Biological Engineering"
"ISI000380077600013","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000380075300002","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000383963300016","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000373062500029","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000379504600077","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000381236700007","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000382335700008","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000380274200016","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000381717500078","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000378951400010","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000376699200004","ARTICLE ",20,2016,"Chemical and Biological Engineering"
"ISI000376699200008","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000375420600012","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000379704000022","ARTICLE ",6,2016,"Chemical and Biological Engineering"
"ISI000374172900005","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000373504800015","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000379329900026","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000376788500023","ARTICLE ",13,2016,"Chemical and Biological Engineering"
"ISI000374798500007","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000378584800101","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000375817200026","ARTICLE ",9,2016,"Chemical and Biological Engineering"
"ISI000379533200016","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000398899000001","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000378630600085","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000374614600008","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000371813700010","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000374236100009","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000374185000005","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000373415500020","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000375244900038","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000371395500028","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000379161100038","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000371472200020","ARTICLE ",9,2016,"Chemical and Biological Engineering"
"ISI000371262100040","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000376799700038","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000376799700045","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000375310000027","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000374405600003","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000374605800004","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000374431900004","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000372598400008","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000371559900004","ARTICLE ",17,2016,"Chemical and Biological Engineering"
"ISI000373686000002","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000371603400002","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000370196100006","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000370887000004","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000370887000015","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000369689100019","ARTICLE ",14,2016,"Chemical and Biological Engineering"
"ISI000375142200148","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000374119800008","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000366790000058","ARTICLE ",10,2016,"Chemical and Biological Engineering"
"ISI000374115600001","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000377290600016","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000377290600019","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000377290600021","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000371254600006","ARTICLE ",15,2016,"Chemical and Biological Engineering"
"ISI000371228200021","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000370182900015","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000368951000005","ARTICLE ",15,2016,"Chemical and Biological Engineering"
"ISI000368563500030","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000367775000023","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000366618800066","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000365972000144","ARTICLE ",15,2016,"Chemical and Biological Engineering"
"ISI000368321700031","ARTICLE ",9,2016,"Chemical and Biological Engineering"
"ISI000368868600001","ARTICLE ",9,2016,"Chemical and Biological Engineering"
"ISI000368868600008","ARTICLE ",6,2016,"Chemical and Biological Engineering"
"ISI000362736300013","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000403795400017","INPROCEEDINGS ",2,2016,"Chemical and Biological Engineering"
"ISI000393584100001","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000390581600001","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000388368400006","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000367627500001","ARTICLE ",0,2015,"Chemical and Biological Engineering"
"ISI000366433700008","ARTICLE ",0,2015,"Chemical and Biological Engineering"
"ISI000365581700067","ARTICLE ",2,2015,"Chemical and Biological Engineering"
"ISI000363736900001","ARTICLE ",1,2015,"Chemical and Biological Engineering"
"ISI000363668200006","ARTICLE ",4,2015,"Chemical and Biological Engineering"
"ISI000362756700007","ARTICLE ",10,2015,"Chemical and Biological Engineering"
"ISI000362771400001","ARTICLE ",2,2015,"Chemical and Biological Engineering"
"ISI000358230400070","ARTICLE ",3,2015,"Chemical and Biological Engineering"
"ISI000357961800077","ARTICLE ",2,2015,"Chemical and Biological Engineering"
"ISI000355738300035","ARTICLE ",6,2015,"Chemical and Biological Engineering"
"ISI000355136800001","ARTICLE ",4,2015,"Chemical and Biological Engineering"
"ISI000354964600013","ARTICLE ",9,2015,"Chemical and Biological Engineering"
"ISI000354204500036","ARTICLE ",5,2015,"Chemical and Biological Engineering"
"ISI000353794900001","ARTICLE ",3,2015,"Chemical and Biological Engineering"
"ISI000353009300101","ARTICLE ",4,2015,"Chemical and Biological Engineering"
"ISI000352789500077","ARTICLE ",8,2015,"Chemical and Biological Engineering"
"ISI000352283100002","ARTICLE ",3,2015,"Chemical and Biological Engineering"
"ISI000352001800006","ARTICLE ",2,2015,"Chemical and Biological Engineering"
"ISI000351556100050","ARTICLE ",8,2015,"Chemical and Biological Engineering"
"ISI000350275700003","ARTICLE ",5,2015,"Chemical and Biological Engineering"
"ISI000350221600080","ARTICLE ",19,2015,"Chemical and Biological Engineering"
"ISI000350222400060","ARTICLE ",9,2015,"Chemical and Biological Engineering"
"ISI000349434600009","ARTICLE ",6,2015,"Chemical and Biological Engineering"
"ISI000349434600011","ARTICLE ",11,2015,"Chemical and Biological Engineering"
"ISI000349434600047","ARTICLE ",1,2015,"Chemical and Biological Engineering"
"ISI000348086200028","ARTICLE ",17,2015,"Chemical and Biological Engineering"
"ISI000347577900032","ARTICLE ",15,2015,"Chemical and Biological Engineering"
"ISI000347577900092","ARTICLE ",11,2015,"Chemical and Biological Engineering"
"ISI000347553500018","ARTICLE ",1,2015,"Chemical and Biological Engineering"
"ISI000215312600002","ARTICLE ",0,2015,"Chemical and Biological Engineering"
"ISI000347580900006","ARTICLE ",22,2014,"Chemical and Biological Engineering"
"ISI000344429700027","ARTICLE ",10,2014,"Chemical and Biological Engineering"
"ISI000345603800004","ARTICLE ",5,2014,"Chemical and Biological Engineering"
"ISI000346019800009","ARTICLE ",16,2014,"Chemical and Biological Engineering"
"ISI000346033400003","ARTICLE ",7,2014,"Chemical and Biological Engineering"
"ISI000345729400015","ARTICLE ",10,2014,"Chemical and Biological Engineering"
"ISI000345268500001","ARTICLE ",7,2014,"Chemical and Biological Engineering"
"ISI000344385100001","ARTICLE ",13,2014,"Chemical and Biological Engineering"
"ISI000345725500039","ARTICLE ",21,2014,"Chemical and Biological Engineering"
"ISI000345552100003","ARTICLE ",39,2014,"Chemical and Biological Engineering"
"ISI000340687900031","ARTICLE ",23,2014,"Chemical and Biological Engineering"
"ISI000341221800006","ARTICLE ",3,2014,"Chemical and Biological Engineering"
"ISI000342559200004","ARTICLE ",13,2014,"Chemical and Biological Engineering"
"ISI000343360800010","ARTICLE ",7,2014,"Chemical and Biological Engineering"
"ISI000342453100020","ARTICLE ",1,2014,"Chemical and Biological Engineering"
