"UT","DT","TC","PY","Department"
"ISI000391080200004","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000390082900021","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000390071000055","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000386420700040","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389962700002","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000389195900019","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389195900034","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000389195900035","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000398287600009","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000392481000017","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000391074700018","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390320300018","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390182800081","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000389534800012","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000389534800019","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000389090800018","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000389090800077","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000388201500010","ARTICLE ",11,2016,"Chemical Engineering"
"ISI000387526100026","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000387807200028","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000382229700077","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000387626600026","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386403800013","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386927700024","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000381533400044","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000390734800045","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390181800012","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389892000011","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000385749500003","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000387306100054","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000387306100071","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000387738400012","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000387738400025","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000387076800024","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386314500020","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000385601200002","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000383295300012","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000383295300013","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000382338400037","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000386107500011","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000380943900140","ARTICLE ",9,2016,"Chemical Engineering"
"ISI000384865100010","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000384852800035","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000387281000124","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000382304100021","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000405347500001","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000405347500005","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000387592300013","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000385761200003","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000386423600075","ARTICLE ",17,2016,"Chemical Engineering"
"ISI000386107200081","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000383679000006","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386054800011","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000384779700007","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000385057900060","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000385057900089","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000384775700004","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000384784800030","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000382839100009","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000384038200030","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000382338800066","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000383318300011","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000383885000065","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000382711200027","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000386346900021","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000383540200019","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000382146000010","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000382803200010","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000382971800009","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000381583400032","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000382713700015","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000377832500008","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000377544900010","ARTICLE ",16,2016,"Chemical Engineering"
"ISI000382095200015","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000382925000013","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000381328200012","ARTICLE ",38,2016,"Chemical Engineering"
"ISI000383705100017","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000388871600004","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000382986000015","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000381236700065","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000381236700078","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000381331900044","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000381331900074","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000381298800001","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000380295800018","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000379973600002","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000379973600022","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000379973600023","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000379973600028","ARTICLE ",14,2016,"Chemical Engineering"
"ISI000376821400022","ARTICLE ",11,2016,"Chemical Engineering"
"ISI000380295700070","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000375816400048","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000379482100012","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000379704000008","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000381182700014","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000383783500005","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000379916300015","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000379558600018","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000379375400009","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000378411400009","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000378614700144","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000378303400029","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000378194900019","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000377209800010","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000378359300033","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000371939500043","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000379037200060","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000378102700043","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000380267100021","ARTICLE ",6,2016,"Chemical Engineering"
"ISI000379106600009","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000379008700033","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000378195600068","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000377841600024","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000377726500043","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000376704400003","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000374602600036","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000374810700016","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000376825800037","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000376824900006","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000376417500006","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000376545600023","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000374075300090","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000374075300196","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000375809700005","ARTICLE ",10,2016,"Chemical Engineering"
"ISI000369205600021","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000376806000015","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000376005600018","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000375502600010","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000373415500017","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000373421700058","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000374786300066","ARTICLE ",10,2016,"Chemical Engineering"
"ISI000393640000002","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000374706000051","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000374774000029","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000369873900001","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000374562200001","ARTICLE ",13,2016,"Chemical Engineering"
"ISI000374916900009","ARTICLE ",13,2016,"Chemical Engineering"
"ISI000374605800007","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000372912500013","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000372877400053","ARTICLE ",5,2016,"Chemical Engineering"
"ISI000373127200019","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000370680000013","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000370049900018","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000372386200012","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000372042000036","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000371945800015","ARTICLE ",19,2016,"Chemical Engineering"
"ISI000371205300001","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000364356200031","ARTICLE ",4,2015,"Chemical Engineering"
"ISI000368140300007","ARTICLE ",5,2015,"Chemical Engineering"
"ISI000366540100005","ARTICLE ",2,2015,"Chemical Engineering"
"ISI000366296500002","ARTICLE ",6,2015,"Chemical Engineering"
"ISI000365057700024","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000365118000002","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000364250000053","ARTICLE ",5,2015,"Chemical Engineering"
"ISI000363951800008","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000363978600017","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000361264800021","ARTICLE ",7,2015,"Chemical Engineering"
"ISI000360294900083","ARTICLE ",5,2015,"Chemical Engineering"
"ISI000363224600055","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000362147500016","ARTICLE ",8,2015,"Chemical Engineering"
"ISI000364886500030","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000361579600021","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000377416600003","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000366714000002","ARTICLE ",2,2015,"Chemical Engineering"
"ISI000362603200032","ARTICLE ",8,2015,"Chemical Engineering"
"ISI000362603200034","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000361928500007","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000362118700001","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000361638400014","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000361002000020","ARTICLE ",7,2015,"Chemical Engineering"
"ISI000360950600012","ARTICLE ",14,2015,"Chemical Engineering"
"ISI000358806600014","ARTICLE ",12,2015,"Chemical Engineering"
"ISI000359167800024","ARTICLE ",9,2015,"Chemical Engineering"
"ISI000363392100019","ARTICLE ",6,2015,"Chemical Engineering"
"ISI000361087200020","ARTICLE ",2,2015,"Chemical Engineering"
"ISI000360943200005","ARTICLE ",14,2015,"Chemical Engineering"
"ISI000366113100004","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000362147600016","ARTICLE ",7,2015,"Chemical Engineering"
"ISI000361468600017","ARTICLE ",4,2015,"Chemical Engineering"
"ISI000361468600018","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000361084300021","ARTICLE ",6,2015,"Chemical Engineering"
"ISI000360205200002","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000360205201224","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000360205202139","ARTICLE ",0,2015,"Chemical Engineering"
"ISI000360501800006","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000359867300011","ARTICLE ",2,2015,"Chemical Engineering"
"ISI000358970200008","ARTICLE ",25,2015,"Chemical Engineering"
"ISI000358271100012","ARTICLE ",6,2015,"Chemical Engineering"
"ISI000360415700045","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000359938200012","ARTICLE ",12,2015,"Chemical Engineering"
"ISI000360215100001","ARTICLE ",6,2015,"Chemical Engineering"
"ISI000359332200019","ARTICLE ",1,2015,"Chemical Engineering"
"ISI000353823800095","ARTICLE ",3,2015,"Chemical Engineering"
"ISI000360353000001","ARTICLE ",46,2015,"Chemical Engineering"
