"UT","DT","TC","PY","Department"
"ISI000386316700003","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000388153000012","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000389288900026","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000389288900040","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000389231000094","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000388254100020","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000386402200047","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000384777800047","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000383930400064","ARTICLE ",13,2016,"Chemical and Biological Engineering"
"ISI000381324800009","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000389729200022","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000385330600021","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000384785300123","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000382902300009","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000394603500004","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000391898800004","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000382094200011","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000381159800139","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000378951800013","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000381530600039","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000380626800006","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000380626800011","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000377366900031","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000380803200004","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000379372300023","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000375507300013","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000374361500010","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000377898000017","ARTICLE ",7,2016,"Chemical and Biological Engineering"
"ISI000377310300017","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000377150600002","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000374602600028","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000374616200052","ARTICLE ",24,2016,"Chemical and Biological Engineering"
"ISI000376825300017","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000375534300001","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000375521200032","ARTICLE ",3,2016,"Chemical and Biological Engineering"
"ISI000373928400005","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000378668600006","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000370894000093","ARTICLE ",8,2016,"Chemical and Biological Engineering"
"ISI000373085100001","ARTICLE ",5,2016,"Chemical and Biological Engineering"
"ISI000372563100001","ARTICLE ",7,2016,"Chemical and Biological Engineering"
"ISI000374233300023","ARTICLE ",6,2016,"Chemical and Biological Engineering"
"ISI000371755400077","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000370637500019","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000369191400029","ARTICLE ",16,2016,"Chemical and Biological Engineering"
"ISI000370888200009","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000368323500012","ARTICLE ",3,2016,"Chemical and Biological Engineering"
