"UT","DT","TC","PY","Department"
"ISI000400048107017","INPROCEEDINGS ",0,2016,"Aerospace Studies"
"ISI000392354900089","INPROCEEDINGS ",0,2016,"Aerospace Studies"
"ISI000379884100002","INPROCEEDINGS ",0,2016,"Aerospace Studies"
"ISI000360262000020","ARTICLE ",5,2015,"Aerospace Studies"
"ISI000381554504078","INPROCEEDINGS ",0,2015,"Aerospace Studies"
"ISI000370259201089","INPROCEEDINGS ",2,2015,"Aerospace Studies"
"ISI000370259205056","INPROCEEDINGS ",1,2015,"Aerospace Studies"
"ISI000209575100003","ARTICLE ",2,2014,"Aerospace Studies"
"ISI000344985900020","ARTICLE ",5,2014,"Aerospace Studies"
"ISI000343924400021","ARTICLE ",1,2014,"Aerospace Studies"
"ISI000340247100011","ARTICLE ",18,2014,"Aerospace Studies"
"ISI000334510400001","ARTICLE ",2,2014,"Aerospace Studies"
"ISI000361166500003","INPROCEEDINGS ",0,2014,"Aerospace Studies"
"ISI000341646300002","INPROCEEDINGS ",0,2014,"Aerospace Studies"
"ISI000370073800126","INPROCEEDINGS ",0,2014,"Aerospace Studies"
"ISI000352223502069","INPROCEEDINGS ",4,2013,"Aerospace Studies"
"ISI000377312800034","ARTICLE ",1,2016,"Aerospace Studies"
"ISI000375006200004","ARTICLE ",1,2016,"Aerospace Studies"
"ISI000391090800026","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000388688800005","ARTICLE ",5,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389716800042","ARTICLE ",22,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390273100001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389734700010","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000393871500011","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000391735300017","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390990100005","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390645100012","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390569200256","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390569200077","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390015900019","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389497900093","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389516400016","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389708900001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000389248300005","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000388628100002","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387859600009","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386623300001","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386821600002","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385873300005","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383526100006","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000367134900008","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000388835700042","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387143900008","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000381841900014","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390488300001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000394950500001","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387614800019","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386957200001","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387095300072","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387016200017","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000391230900041","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390595600014","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390042100091","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000390042100087","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387625000074","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387352000017","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387197500015","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387197800003","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386677500002","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386377000018","ARTICLE ",17,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386384500001","ARTICLE ",4,2016,"Biomaterials & Biomechanical Engineering"
"ISI000378538700027","ARTICLE ",4,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386250700028","ARTICLE ",27,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385907400048","ARTICLE ",4,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383412300009","ARTICLE ",6,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385688000001","ARTICLE ",8,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386103700023","ARTICLE ",12,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385240500001","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000411889200001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000384638900037","ARTICLE ",16,2016,"Biomaterials & Biomechanical Engineering"
"ISI000384528900005","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000410672100006","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387481500024","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387152400295","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000386259300006","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385625500030","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385358500001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000385209900015","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383299800004","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
"ISI000382847300009","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000382270000016","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000382597400013","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000384257500001","ARTICLE ",2,2016,"Biomaterials & Biomechanical Engineering"
"ISI000376109000032","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000384034600077","ARTICLE ",4,2016,"Biomaterials & Biomechanical Engineering"
"ISI000387995300001","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383925700006","ARTICLE ",0,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383476700004","ARTICLE ",4,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383098000050","ARTICLE ",51,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383410700031","ARTICLE ",1,2016,"Biomaterials & Biomechanical Engineering"
"ISI000384209800004","ARTICLE ",6,2016,"Biomaterials & Biomechanical Engineering"
"ISI000383463000008","ARTICLE ",3,2016,"Biomaterials & Biomechanical Engineering"
