"UT","DT","TC","PY","Department"
"ISI000392174000005","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390242900006","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000390675800003","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000386420700035","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000386445000010","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000386445000020","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000385318600028","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000390215700007","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000389866000002","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000389763000080","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390506600017","ARTICLE ",0,2016,"Materials Engineering"
"ISI000390005700001","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000387631500023","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000386248700012","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000401168500001","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000393539100045","ARTICLE ",1,2016,"Mechanical Engineering"
"ISI000394147900001","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000393313400007","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000392473600046","ARTICLE ",6,2016,"Electrical and Computer Engineering"
"ISI000392473600049","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000392092300004","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000391282800042","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000391292500031","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000391419100022","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390990100007","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000390634300003","ARTICLE ",2,2016,"Civil Engineering"
"ISI000390731700039","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000390631700017","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000390649000035","ARTICLE ",1,2016,"Okanagan Campus"
"ISI000390668900004","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390668900032","ARTICLE ",6,2016,"Electrical and Computer Engineering"
"ISI000390512100041","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000390636100080","ARTICLE ",2,2016,"Okanagan Campus"
"ISI000390086400012","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000390074600001","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000390074600011","ARTICLE ",3,2016,"Mechanical Engineering"
"ISI000390074600018","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000390074600018","ARTICLE ",2,2016,"Mechanical Engineering"
"ISI000390074600020","ARTICLE ",1,2016,"Mechanical Engineering"
"ISI000390074600021","ARTICLE ",1,2016,"Mechanical Engineering"
"ISI000389342700008","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000389342700008","ARTICLE ",0,2016,"Biomedical Engineering"
"ISI000389623400014","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000389549300033","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000389549300033","ARTICLE ",2,2016,"Mechanical Engineering"
"ISI000388956400021","ARTICLE ",4,2016,"Okanagan Campus"
"ISI000389087300050","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000388896600001","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388586100001","ARTICLE ",2,2016,"Civil Engineering"
"ISI000388614200001","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000388614200031","ARTICLE ",1,2016,"Okanagan Campus"
"ISI000388610300002","ARTICLE ",0,2016,"Civil Engineering"
"ISI000387690900004","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000387669300028","ARTICLE ",1,2016,"Okanagan Campus"
"ISI000388105700007","ARTICLE ",3,2016,"Keevil Institute of Mining Engineering"
"ISI000387408500002","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000387247500004","ARTICLE ",1,2016,"Civil Engineering"
"ISI000387040700020","ARTICLE ",2,2016,"Materials Engineering"
"ISI000386756400006","ARTICLE ",6,2016,"Civil Engineering"
"ISI000386756400019","ARTICLE ",3,2016,"Civil Engineering"
"ISI000386756400019","ARTICLE ",3,2016,"Materials Engineering"
"ISI000386241000076","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000382600300009","ARTICLE ",4,2016,"Chemical and Biological Engineering"
"ISI000388048400017","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000388048400033","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000388498700029","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000388913900007","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000388914400005","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000381619800025","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000391054300017","ARTICLE ",3,2016,"Mechanical Engineering"
"ISI000387298600018","ARTICLE ",1,2016,"Mechanical Engineering"
"ISI000393098400049","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000393098400049","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000392642100008","ARTICLE ",0,2016,"Mechanical Engineering"
"ISI000391580900078","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000391580900090","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000391441900018","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000391140500005","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000390941000005","ARTICLE ",0,2016,"Keevil Institute of Mining Engineering"
"ISI000390722400010","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000390093800006","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000390014100010","ARTICLE ",1,2016,"Okanagan Campus"
"ISI000389549400042","ARTICLE ",4,2016,"Electrical and Computer Engineering"
"ISI000389658500022","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000389658500022","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000389641300014","ARTICLE ",1,2016,"Materials Engineering"
"ISI000389344100023","ARTICLE ",1,2016,"Chemical and Biological Engineering"
"ISI000385749500002","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000388428800101","ARTICLE ",0,2016,"Chemical and Biological Engineering"
"ISI000388876400027","ARTICLE ",5,2016,"Electrical and Computer Engineering"
"ISI000388873800015","ARTICLE ",1,2016,"Electrical and Computer Engineering"
"ISI000388873800025","ARTICLE ",3,2016,"Electrical and Computer Engineering"
"ISI000388865300051","ARTICLE ",0,2016,"Electrical and Computer Engineering"
"ISI000389110400019","ARTICLE ",2,2016,"Chemical and Biological Engineering"
"ISI000388601200008","ARTICLE ",0,2016,"Okanagan Campus"
"ISI000388674700019","ARTICLE ",2,2016,"Electrical and Computer Engineering"
"ISI000388674700019","ARTICLE ",2,2016,"Okanagan Campus"
"ISI000388153400009","ARTICLE ",0,2016,"Mechanical Engineering"
