"UT","DT","TC","PY","Department"
"ISI000408743700008","ARTICLE ",2,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000393040200002","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000392092300016","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000389784000007","ARTICLE ",3,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000389891100012","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000389852400007","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386442100001","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000390101300004","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000389892000017","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386744600016","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000388778800007","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000387625000032","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386332200002","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386332200011","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386332200012","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000385179400001","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000390255200002","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000384239200001","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000387445500094","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000386423600064","ARTICLE ",7,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000380385100026","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000384227200001","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000384048800016","ARTICLE ",2,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000383261500001","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000383261500020","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000382692000001","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000382406400002","ARTICLE ",3,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000369086700005","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000375158000020","ARTICLE ",4,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000369211600004","ARTICLE ",2,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000368204500015","ARTICLE ",1,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000368089100004","ARTICLE ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000401450200002","INCOLLECTION ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000392695300270","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400006","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400010","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400029","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400031","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400036","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301400123","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301401056","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
"ISI000403301401067","INPROCEEDINGS ",0,2016,"Aerospace Engineering and Engineering Mechanics"
