"UT","DT","TC","PY","Department"
"ISI000378352900137","INPROCEEDINGS ",0,2016,"Centre for Bioengineering and Biotechnology"
"ISI000355014000003","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000001","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000004","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000002","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000005","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000006","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000007","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000008","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000355014000009","INCOLLECTION ",0,2015,"Centre for Bioengineering and Biotechnology"
"ISI000327535200005","ARTICLE ",8,2013,"Centre for Bioengineering and Biotechnology"
"ISI000354468000028","INPROCEEDINGS ",0,2013,"Centre for Bioengineering and Biotechnology"
"ISI000306768400030","ARTICLE ",15,2012,"Centre for Bioengineering and Biotechnology"
"ISI000399925503009","INPROCEEDINGS ",1,2016,"Centre for Bioengineering and Biotechnology"
"ISI000395443700089","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000387112500014","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000386991600128","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000384577600076","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390117800005","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000389587100195","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386862300031","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000386248700002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000398287600012","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000393121400008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390682300001","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000390569200584","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389338700004","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000389962500011","ARTICLE ",7,2016,"Chemical Engineering"
"ISI000389144600003","ARTICLE ",3,2016,"Chemical Engineering"
"ISI000389231000086","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000388961200017","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000387526100026","ARTICLE ",12,2016,"Chemical Engineering"
"ISI000386402200002","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000385718100008","ARTICLE ",0,2016,"Chemical Engineering"
"ISI000386403700020","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000388999900006","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000388283000012","ARTICLE ",4,2016,"Chemical Engineering"
"ISI000391174600002","ARTICLE ",55,2016,"Chemical Engineering"
"ISI000387040500001","ARTICLE ",1,2016,"Chemical Engineering"
"ISI000385598300029","ARTICLE ",2,2016,"Chemical Engineering"
"ISI000390734800093","ARTICLE ",0,2016,"Chemical Engineering"
