"UT","DT","TC","PY","Department"
"ISI000353187600023","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000346222100006","ARTICLE ",3,2014,"Chemical and Biomedical Engineering"
"ISI000337880900010","ARTICLE ",6,2014,"Chemical and Biomedical Engineering"
"ISI000372564600002","ARTICLE ",0,2016,"Chemical and Biomedical Engineering"
"ISI000368234400022","ARTICLE ",2,2016,"Chemical and Biomedical Engineering"
"ISI000403669000007","INPROCEEDINGS ",0,2016,"Chemical and Biomedical Engineering"
"ISI000385389800080","ARTICLE ",0,2016,"Chemical and Biomedical Engineering"
"ISI000381997300011","ARTICLE ",2,2016,"Chemical and Biomedical Engineering"
"ISI000381995800010","ARTICLE ",2,2016,"Chemical and Biomedical Engineering"
"ISI000382315800034","INPROCEEDINGS ",0,2016,"Chemical and Biomedical Engineering"
"ISI000370850600009","ARTICLE ",3,2016,"Chemical and Biomedical Engineering"
"ISI000377698500009","ARTICLE ",0,2015,"Chemical and Biomedical Engineering"
"ISI000367662300002","ARTICLE ",0,2015,"Chemical and Biomedical Engineering"
"ISI000364247200021","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000362937400001","ARTICLE ",1,2015,"Chemical and Biomedical Engineering"
"ISI000362118700001","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000361263300040","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000360205200327","ARTICLE ",0,2015,"Chemical and Biomedical Engineering"
"ISI000360630200002","ARTICLE ",4,2015,"Chemical and Biomedical Engineering"
"ISI000360188900013","ARTICLE ",4,2015,"Chemical and Biomedical Engineering"
"ISI000360141500007","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000356562000019","ARTICLE ",7,2015,"Chemical and Biomedical Engineering"
"ISI000359273600030","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000358043200016","ARTICLE ",9,2015,"Chemical and Biomedical Engineering"
"ISI000361033900098","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000357963700040","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000358436200011","ARTICLE ",1,2015,"Chemical and Biomedical Engineering"
"ISI000356625500005","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000355422800026","ARTICLE ",1,2015,"Chemical and Biomedical Engineering"
"ISI000355332500003","ARTICLE ",1,2015,"Chemical and Biomedical Engineering"
"ISI000353641600035","ARTICLE ",13,2015,"Chemical and Biomedical Engineering"
"ISI000350777200007","ARTICLE ",3,2015,"Chemical and Biomedical Engineering"
"ISI000353237000020","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000349659300008","ARTICLE ",5,2015,"Chemical and Biomedical Engineering"
"ISI000349529100007","ARTICLE ",1,2015,"Chemical and Biomedical Engineering"
"ISI000349385400008","ARTICLE ",5,2015,"Chemical and Biomedical Engineering"
"ISI000349515400002","ARTICLE ",2,2015,"Chemical and Biomedical Engineering"
"ISI000348128400002","ARTICLE ",16,2015,"Chemical and Biomedical Engineering"
"ISI000374710500002","INPROCEEDINGS ",0,2015,"Chemical and Biomedical Engineering"
