"UT","DT","TC","PY","Department"
"ISI000382987000019","ARTICLE ",5,2016,"Chemical & Biological Engineering"
"ISI000384041000013","ARTICLE ",1,2016,"Chemical & Biological Engineering"
"ISI000383213200033","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000381594700004","ARTICLE ",0,2016,"Chemical & Biological Engineering"
"ISI000382713700048","ARTICLE ",5,2016,"Chemical & Biological Engineering"
"ISI000381235700008","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000381860800005","ARTICLE ",6,2016,"Chemical & Biological Engineering"
"ISI000381320700036","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000381320300023","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000378854600007","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000384390300085","ARTICLE ",5,2016,"Chemical & Biological Engineering"
"ISI000383734300045","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000382986000002","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000382986000014","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000382306500042","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000381331900083","ARTICLE ",9,2016,"Chemical & Biological Engineering"
"ISI000378568800006","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000377837800017","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000380576700023","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000376444100004","ARTICLE ",1,2016,"Chemical & Biological Engineering"
"ISI000376406100010","ARTICLE ",5,2016,"Chemical & Biological Engineering"
"ISI000379277900026","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000380576600010","ARTICLE ",8,2016,"Chemical & Biological Engineering"
"ISI000379902900004","ARTICLE ",7,2016,"Chemical & Biological Engineering"
"ISI000379457300001","ARTICLE ",16,2016,"Chemical & Biological Engineering"
"ISI000379638600009","ARTICLE ",4,2016,"Chemical & Biological Engineering"
"ISI000378816200035","ARTICLE ",21,2016,"Chemical & Biological Engineering"
"ISI000375825500004","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000377841400040","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000377597400005","ARTICLE ",9,2016,"Chemical & Biological Engineering"
"ISI000378924700017","ARTICLE ",1,2016,"Chemical & Biological Engineering"
"ISI000377326700052","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000377427300002","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000377001200007","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000376872900001","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000376872900003","ARTICLE ",5,2016,"Chemical & Biological Engineering"
"ISI000374705500029","ARTICLE ",0,2016,"Chemical & Biological Engineering"
"ISI000375033300006","ARTICLE ",7,2016,"Chemical & Biological Engineering"
"ISI000374198600029","ARTICLE ",10,2016,"Chemical & Biological Engineering"
"ISI000376825800066","ARTICLE ",2,2016,"Chemical & Biological Engineering"
"ISI000376779900005","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000376147800044","ARTICLE ",53,2016,"Chemical & Biological Engineering"
"ISI000375977600037","ARTICLE ",1,2016,"Chemical & Biological Engineering"
"ISI000375895900012","ARTICLE ",8,2016,"Chemical & Biological Engineering"
"ISI000379528500020","ARTICLE ",0,2016,"Chemical & Biological Engineering"
"ISI000375118500004","ARTICLE ",1,2016,"Chemical & Biological Engineering"
"ISI000373959400004","ARTICLE ",3,2016,"Chemical & Biological Engineering"
"ISI000334734200015","ARTICLE ",4,2014,"Chemical & Biological Engineering"
"ISI000332461800016","ARTICLE ",10,2014,"Chemical & Biological Engineering"
"ISI000330595400011","ARTICLE ",17,2014,"Chemical & Biological Engineering"
"ISI000329933300010","ARTICLE ",15,2014,"Chemical & Biological Engineering"
"ISI000329303100009","ARTICLE ",32,2014,"Chemical & Biological Engineering"
"ISI000329293700005","ARTICLE ",20,2014,"Chemical & Biological Engineering"
"ISI000329175700023","ARTICLE ",1,2014,"Chemical & Biological Engineering"
"ISI000328486400020","ARTICLE ",30,2014,"Chemical & Biological Engineering"
"ISI000327849000009","ARTICLE ",34,2014,"Chemical & Biological Engineering"
"ISI000329137500022","ARTICLE ",1,2013,"Chemical & Biological Engineering"
"ISI000328531100020","ARTICLE ",23,2013,"Chemical & Biological Engineering"
"ISI000328453300011","ARTICLE ",17,2013,"Chemical & Biological Engineering"
"ISI000328437200064","ARTICLE ",60,2013,"Chemical & Biological Engineering"
"ISI000328566100048","ARTICLE ",4,2013,"Chemical & Biological Engineering"
"ISI000330039200002","ARTICLE ",9,2013,"Chemical & Biological Engineering"
"ISI000329881700021","ARTICLE ",29,2013,"Chemical & Biological Engineering"
"ISI000328806200013","ARTICLE ",60,2013,"Chemical & Biological Engineering"
"ISI000328341200002","ARTICLE ",0,2013,"Chemical & Biological Engineering"
"ISI000328439200035","ARTICLE ",5,2013,"Chemical & Biological Engineering"
"ISI000328231400005","ARTICLE ",14,2013,"Chemical & Biological Engineering"
"ISI000328231400006","ARTICLE ",28,2013,"Chemical & Biological Engineering"
"ISI000327424500037","ARTICLE ",10,2013,"Chemical & Biological Engineering"
"ISI000327580000005","ARTICLE ",11,2013,"Chemical & Biological Engineering"
"ISI000326901200002","ARTICLE ",11,2013,"Chemical & Biological Engineering"
"ISI000327304900005","ARTICLE ",5,2013,"Chemical & Biological Engineering"
"ISI000325621100019","ARTICLE ",30,2013,"Chemical & Biological Engineering"
"ISI000325621100023","ARTICLE ",17,2013,"Chemical & Biological Engineering"
"ISI000327388700012","ARTICLE ",23,2013,"Chemical & Biological Engineering"
"ISI000327831000003","ARTICLE ",23,2013,"Chemical & Biological Engineering"
"ISI000325945800009","ARTICLE ",10,2013,"Chemical & Biological Engineering"
"ISI000325081900024","ARTICLE ",49,2013,"Chemical & Biological Engineering"
"ISI000326711400048","ARTICLE ",12,2013,"Chemical & Biological Engineering"
"ISI000327863600022","ARTICLE ",5,2013,"Chemical & Biological Engineering"
"ISI000328080100019","ARTICLE ",30,2013,"Chemical & Biological Engineering"
"ISI000327692500009","ARTICLE ",25,2013,"Chemical & Biological Engineering"
"ISI000326840000015","ARTICLE ",12,2013,"Chemical & Biological Engineering"
"ISI000326896100007","ARTICLE ",1,2013,"Chemical & Biological Engineering"
"ISI000325834900098","ARTICLE ",13,2013,"Chemical & Biological Engineering"
